canonical_gene	manuscript_tier	screen	branch_tested	held_out_dataset	n_datasets_remaining	median_dataset_rank_delta	positive_dataset_fraction	robust_directional_support
GPM6A	Tier 1 core convergent program	selected	cerebellar	GSE165657	2	0.5	1.0	True
GPM6A	Tier 1 core convergent program	selected	cerebellar	GSE312658	2	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	none	3	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE122357	2	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE165657	2	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE312658	2	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	none	3	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE122357	2	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE165657	2	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE312658	2	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	none	3	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE122357	2	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE165657	2	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE312658	2	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	none	3	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE122357	2	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE165657	2	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE312658	2	0.5	1.0	True
KCNK1	Tier 1 core convergent program	selected	cerebellar	none	3	0.5	1.0	True
KCNK1	Tier 1 core convergent program	selected	cerebellar	GSE122357	2	0.5	1.0	True
