gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
PPP2R2A	PPP2R2A	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	1.316502911846695e-12	6	12	1.0	0.5	0.5	0.009879767867540601	0.6554621848739496	0.4222034143299942	7	3	2.01944470706894e-12	0.03418661397874148	True	True	True	0.9166666666666667	0.4222034143299942
TRPC4AP	TRPC4AP	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	3.1277825131250887e-10	6	12	1.0	0.5	0.5	0.009879767867540601	0.5181023720349563	0.35305769914713203	7	3	4.0794709987783026e-10	0.03418661397874148	True	True	True	0.9166666666666667	0.35305769914713203
BBX	BBX	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	5.491559972206237e-12	6	12	1.0	0.5	0.5	0.009879767867540601	0.6379310344827587	0.3492254724450127	7	3	7.97268646567291e-12	0.03418661397874148	True	True	True	0.9166666666666667	0.3492254724450127
STMN4	STMN4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	2.1999346035203494e-11	6	12	1.0	0.5	0.5	0.009879767867540601	0.334841628959276	0.5604818674608034	7	3	3.0666183515653204e-11	0.03418661397874148	True	True	True	0.9166666666666667	0.334841628959276
ZKSCAN1	ZKSCAN1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	5.491559972206237e-12	6	12	1.0	0.5	0.5	0.00021486327043911477	0.4797570850202429	0.31063143191457776	7	3	7.97268646567291e-12	0.003140309337187062	True	True	True	0.9166666666666667	0.31063143191457776
PLCL1	PLCL1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	2.2278881270622824e-16	6	12	1.0	0.5	0.5	0.00021486327043911477	0.8845315904139434	0.132543319135748	7	2	5.102734263567149e-16	0.003140309337187062	True	True	True	0.9166666666666667	0.132543319135748
SAMD3	SAMD3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	1.0	0.5	0.5	1.7026132733365468e-20	6	12	1.0	0.5833333333333333	0.41666666666666674	0.02024003890302012	0.649089915743436	0.03140212491073521	3	1	8.152247659750486e-20	0.069460888846161	True	True	True	0.9166666666666667	0.03140212491073521
PLPPR1	PLPPR1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	70	87	1.0	0.6666666666666666	0.33333333333333337	6.224372670434856e-14	5	10	1.0	0.5	0.5	0.0007477303749822311	0.6464948073259105	0.7189721159103335	4	2	1.0809178800779187e-13	0.010777630922157675	True	True	True	0.8333333333333334	0.6464948073259105
FAM49B	FAM49B	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.6666666666666666	0.33333333333333337	1.4538203005278156e-05	6	12	1.0	0.5	0.5	0.009879767867540601	0.5916666666666667	0.6016242145551416	7	3	1.5487898977626877e-05	0.03418661397874148	True	True	True	0.8333333333333334	0.5916666666666667
TULP4	TULP4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.6666666666666666	0.33333333333333337	8.350654673191274e-07	6	12	1.0	0.5	0.5	0.009879767867540601	0.5732323232323232	0.6155259455670747	7	3	9.083535599875563e-07	0.03418661397874148	True	True	True	0.8333333333333334	0.5732323232323232
FUT8	FUT8	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.6666666666666666	0.33333333333333337	7.531595868907179e-08	6	12	1.0	0.5	0.5	0.00021486327043911477	0.7912784196794633	0.528872939192763	7	3	8.473045352520576e-08	0.003140309337187062	True	True	True	0.8333333333333334	0.528872939192763
APLP1	APLP1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.6666666666666666	0.33333333333333337	5.626212252175981e-09	6	12	1.0	0.5	0.5	0.009879767867540601	0.5110685979775895	0.5691197843508196	7	3	6.828905637923729e-09	0.03418661397874148	True	True	True	0.8333333333333334	0.5110685979775895
