canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	screen	branch_tested	formal_model_n_units	formal_model_n_datasets	formal_model_method	formal_model_estimate	formal_model_se	formal_model_z_greater	formal_model_p_greater	formal_model_converged	formal_model_message	dataset_best_nominal_p_greater	dataset_best_q_bh_greater	branch_replication_support	branch_nominal_support	branch_fdr10_support	formal_model_q_bh_greater	formal_model_nominal_support	formal_model_fdr10_support
CACNA2D1	CACNA2D1	CACNA2D1	Cacna2d1	51625279	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
CADM3	CADM3	CADM3	Cadm3	51628789	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
DCC	DCC	DCC	Dcc	51626817	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
GABRA2	GABRA2	GABRA2	Gabra2	51626368	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
GPM6A	GPM6A	GPM6A	Gpm6a	51618252	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
GRIN2B	GRIN2B	GRIN2B	Grin2b	51621524	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
KCNJ3	KCNJ3	KCNJ3	Kcnj3	51625694	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
KCNJ6	KCNJ6	KCNJ6	Kcnj6	51631421	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
KCNK1	KCNK1	KCNK1	Kcnk1	51622575	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
KCNMB4	KCNMB4	KCNMB4	Kcnmb4	51633330	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
MAP1B	MAP1B	MAP1B	Map1b	51630358	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
MAP3K13	MAP3K13	MAP3K13	Map3k13	51625425	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
NFIA	NFIA	NFIA	Nfia	51625494	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
NFIB	NFIB	NFIB	Nfib	51634293	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
PPP3CA	PPP3CA	PPP3CA	Ppp3ca	51620904	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
RFX3	RFX3	RFX3	Rfx3	51628902	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
SLC17A6	SLC17A6	SLC17A6	Slc17a6	51616516	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
STMN2	STMN2	STMN2	Stmn2	51624344	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
STXBP5L	STXBP5L	STXBP5L	Stxbp5l	51624931	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
TCF4	TCF4	TCF4	Tcf4	51626981	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
TUBA1A	TUBA1A	TUBA1A	Tuba1a	51627126	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3123397435897436	True	True	False		False	False
BCL7A	BCL7A	BCL7A	Bcl7a	51617213	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
CACNA2D1	CACNA2D1	CACNA2D1	Cacna2d1	51625279	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
FOXN2	FOXN2	FOXN2	Foxn2	51628495	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
GABRA2	GABRA2	GABRA2	Gabra2	51626368	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
GABRB3	GABRB3	GABRB3	Gabrb3	51631275	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
GPM6A	GPM6A	GPM6A	Gpm6a	51618252	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
GRIN2B	GRIN2B	GRIN2B	Grin2b	51621524	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
KCND2	KCND2	KCND2	Kcnd2	51626176	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
KCNJ3	KCNJ3	KCNJ3	Kcnj3	51625694	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
KCNJ6	KCNJ6	KCNJ6	Kcnj6	51631421	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
KCNK1	KCNK1	KCNK1	Kcnk1	51622575	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
MAPK14	MAPK14	MAPK14	Mapk14	51618979	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
NFIA	NFIA	NFIA	Nfia	51625494	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
NFIB	NFIB	NFIB	Nfib	51634293	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
PPP3CA	PPP3CA	PPP3CA	Ppp3ca	51620904	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
RFX3	RFX3	RFX3	Rfx3	51628902	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
ROBO2	ROBO2	ROBO2	Robo2	51616305	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
SEMA7A	SEMA7A	SEMA7A	Sema7a	51620218	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
STXBP5L	STXBP5L	STXBP5L	Stxbp5l	51624931	full_matrix	dentate	4	4	mixedlm_dataset_random_intercept	0.5				False		0.0625	0.41942132674430754	True	True	False		False	False
