gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
ZHX2	ZHX2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.762542842583194e-26	6	12	0.5	0.8333333333333333	-0.33333333333333326	0.9667434775654529	0.625560538116592	0.029013372260768437	7	1	5.210396022228651e-25	1.0	False	False	False	0.16666666666666674	0.029013372260768437
ZHX3	ZHX3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	5.611180888788661e-21	6	12	0.8333333333333333	0.5	0.33333333333333326	0.04130279887374222	0.6351730589335828	0.13371405307850864	7	2	2.918621426326764e-20	0.10540030481821885	True	False	True	0.8333333333333333	0.13371405307850864
Zic1	ZIC1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	marker_panel	True	True	72	88	1.0	0.6666666666666666	0.33333333333333337	1.1488205184755394e-09	6	12	1.0	0.5	0.5	0.00021486327043911477	0.060758928571428575	0.96742844414791	2	3	1.4554858087461713e-09	0.003140309337187062	True	True	True	0.8333333333333334	0.060758928571428575
Zic2	ZIC2	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	marker_panel	True	True	72	88	1.0	0.6666666666666666	0.33333333333333337	1.7391552866223974e-17	6	12	1.0	0.5	0.5	0.00021486327043911477	0.009435394207089163	0.6034346380496904	1	3	4.744940649916956e-17	0.003140309337187062	True	True	True	0.8333333333333334	0.009435394207089163
ZKSCAN1	ZKSCAN1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	5.491559972206237e-12	6	12	1.0	0.5	0.5	0.00021486327043911477	0.4797570850202429	0.31063143191457776	7	3	7.97268646567291e-12	0.003140309337187062	True	True	True	0.9166666666666667	0.31063143191457776
ZMAT4	ZMAT4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.2117564234326825e-27	6	12	0.8333333333333333	0.5	0.33333333333333326	0.04130279887374222	0.7643979057591623	0.21244439600409892	7	3	4.106718253789826e-26	0.10540030481821885	True	False	True	0.8333333333333333	0.21244439600409892
ZMYM2	ZMYM2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	8.124407431053364e-17	6	12	0.6666666666666666	0.5	0.16666666666666663	0.12700887922326776	0.8013245033112583	0.25138686269585975	7	3	1.9689206388776256e-16	0.23428822380991143	True	False	False	0.6666666666666666	0.25138686269585975
ZMYM4	ZMYM4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	8.574830319650641e-18	6	12	0.6666666666666666	0.5	0.16666666666666663	0.12700887922326776	0.6635404454865181	0.23856355446126298	7	3	2.3936688498484222e-17	0.23428822380991143	True	False	False	0.6666666666666666	0.23856355446126298
ZMYND11	ZMYND11	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	8.574830319650641e-18	6	12	1.0	0.5	0.5	0.009879767867540601	0.6721854304635762	0.5114215923552586	7	3	2.3936688498484222e-17	0.03418661397874148	True	True	True	1.0	0.5114215923552586
ZMYND8	ZMYND8	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.1463558475612274e-18	6	12	0.8333333333333333	0.5	0.33333333333333326	0.04130279887374222	0.7777777777777778	0.28762611207842176	7	3	3.903368655196707e-18	0.10540030481821885	True	False	True	0.8333333333333333	0.28762611207842176
ZRANB2	ZRANB2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	3.7294444865275855e-20	6	12	1.0	0.5	0.5	0.009879767867540601	0.6978476821192053	0.7266921740725227	7	3	1.6275986099151576e-19	0.03418661397874148	True	True	True	1.0	0.6978476821192053
ZSWIM5	ZSWIM5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.3174243594451417e-17	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.5504966887417219	0.046881676124524166	6	1	6.182648752320433e-17	0.44652159914500644	True	False	False	0.6666666666666666	0.046881676124524166
ZSWIM6	ZSWIM6	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.6666666666666666	0.33333333333333337	3.857717531978901e-07	6	12	0.6666666666666666	0.6666666666666666	0.0	0.2926959764730425	0.8409728718428437	0.0851234863724849	7	3	4.2387990510953574e-07	0.44652159914500644	False	False	False	0.33333333333333337	0.0851234863724849
