dataset	accession	node	contrast_id	contrast_label	species	model_or_tissue	module_id	module_label	module_family	hypothesis_role	n_module_genes	n_genes_available	coverage_fraction	median_effect	mean_effect	positive_fraction	negative_fraction	signed_module_shift_score	direction_call	support_class	context_match	top_abs_effect_genes
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	13	13	1.0	0.0	-0.06713202736634499	0.38461538461538464	0.46153846153846156	0.0	near_zero	near_zero_or_mixed	off_context	MYCN;GLI1;BARHL1;GLI2;ZIC1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	17	17	1.0	0.001399524049111811	0.15571617154010803	0.5294117647058824	0.4117647058823529	0.001399524049111811	near_zero	near_zero_or_mixed	off_context	NEUROD2;ZBTB20;C1QL3;BCL11B;NEUROD1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	21	21	1.0	0.11143842123941461	0.11259478342122548	0.6666666666666666	0.2857142857142857	0.11143842123941461	up_shift	weak_shift	matched_context	GAP43;PLXNA4;MAP1B;DCC;NRXN1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	20	20	1.0	0.17346630195982507	0.18267862281857333	0.7	0.2	0.17346630195982507	up_shift	weak_shift	matched_context	KCNJ6;SLC17A7;STXBP5L;GABRA2;SNAP25
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	fgf_mapk	FGF/MAPK	neurogenic_permissive	neurogenic niche maintenance and MAPK-linked growth signaling	17	4	0.23529411764705882	-0.12288815120800756	0.19976583905736078	0.25	0.75	-0.05960950912558702	down_shift	weak_shift	matched_context	FGF8;MAPK1;MAP2K1;FRS2
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	notch_hes	Notch/HES	neurogenic_permissive	persistent neurogenic progenitor-state and differentiation timing control	14	7	0.5	-0.4977119380907986	-0.4550735435667704	0.14285714285714285	0.8571428571428571	-0.35193548650150286	down_shift	strong_shift	off_context	HES5;HES1;DLL1;NOTCH1;JAG1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	10	3	0.3	-0.36338349962639604	-0.19774102860846435	0.3333333333333333	0.6666666666666666	-0.1990333397705472	down_shift	moderate_shift	off_context	PAFAH1B1;DAB1;CDK5R1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	17	10	0.5882352941176471	-0.1313540682237324	-0.04678726905180715	0.4	0.6	-0.10074397147027166	down_shift	weak_shift	off_context	PLXNA4;SEMA7A;PLXNA2;SEMA6D;SEMA5A
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	21	21	1.0	-0.14867182018099356	-0.14709638124054866	0.2857142857142857	0.7142857142857143	-0.14867182018099356	down_shift	weak_shift	off_context	HES5;TUBB3;GLI1;WNT5A;HES1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	cerebellar granule precursor expansion and regional fate context	10	5	0.5	-0.3895858219706376	-0.24307073429766354	0.2	0.6	-0.2754787765695729	down_shift	strong_shift	off_context	MYCN;GLI1;GLI2;PTCH1;ATOH1
