sample	group	cell_type	source_anchor_label	n_cells	median_counts	median_dentate_identity	median_human_dg_immature	median_human_dg_mature	median_cerebellar_identity	median_shared_granule_neuronal	median_morphogenesis_cytoskeleton	median_axon_guidance_synapse	median_background_max
S2R5stored	SAD	MatN_OTOF	adult_human_dg_mature_anchor	36	13022.5	0.30059597	0.33576876	1.5824523	0.0	0.8805517	0.4736532	0.75155103	0.24638128
S2R5stored	SAD	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	602	9432.0	0.21753095	0.24088314	1.6160343	0.048596818	0.8852442	0.5074094	0.8903532	0.259061
S2R5stored	SAD	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1438	10001.0	0.23470923	0.2690277	1.6244066	0.05454274	0.8971549	0.5244502	0.8574387	0.2595387
S2R6	MAD	DiffN	adult_dg_background_warning	155	1126.0	0.0	0.17744857	0.8868178	0.0	0.6464337	0.3988937	0.4555042	1.296251
S2R6	MAD	DiffN	adult_human_dg_differentiating_anchor	1424	1522.0	0.16816117	0.18180272	1.2640148	0.0	0.76650065	0.3862313	0.5095939	0.4457541
S2R6	MAD	DiffN_OTOF	adult_dg_background_warning	13	1135.0	0.3186069	0.23024575	0.8922972	0.0	0.71011436	0.3988937	0.3398474	1.2657924
S2R6	MAD	DiffN_OTOF	adult_human_dg_differentiating_anchor	109	2010.0	0.24321735	0.20366515	1.2202246	0.0	0.71178496	0.4162809	0.36725143	0.4333067
S2R6	MAD	MatN_OTOF	adult_human_dg_mature_anchor	71	11866.0	0.32679802	0.31264946	1.6784705	0.0	0.9149506	0.5325956	0.82126975	0.2726231
S2R6	MAD	MatN_SGCZ_CHRM3	adult_dg_background_warning	3	1024.0	0.29704478	0.21603258	0.9960735	0.0	0.7024987	0.19802986	0.37239334	1.0796613
S2R6	MAD	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	1522	8130.5	0.21785182	0.21898106	1.5895377	0.0	0.8884236	0.4863735	0.9605274	0.26671404
