gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection	mechanism_class	manuscript_use	mechanism_priority_score
C5ORF42	C5ORF42	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0977098627513565	0	1	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
C9ORF3	C9ORF3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0373045004787743	1	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
CTC-228N24.3	CTC-228N24.3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0498324289818065	0	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
FAM153C	FAM153C	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0007580593680178	1	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
KIAA0368	KIAA0368	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0729332907756144	0	1	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
KIAA1468	KIAA1468	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0297638046600702	0	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
LL22NC03-2H8.5	LL22NC03-2H8.5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0683849345675071	0	1	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
RP11-586K2.1	RP11-586K2.1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0064634535588892	0	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
RP11-611E13.2	RP11-611E13.2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0616022981168209	0	1	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
ELMO1	ELMO1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.9886615356758928	6	12	0.8333333333333333	0.5	0.3333333333333332	0.0413027988737422	0.2952060555088309	0.5815018608572445	7	3	0.992321550615924	0.1054003048182188	False	False	False	0.3333333333333332	0.2952060555088309	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.40713484721054094
PTN	PTN	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.1411742528831714	6	12	1.0	0.6666666666666666	0.3333333333333333	0.0413027988737422	0.1883671291355389	0.8771735637482743	6	3	0.144847187560832	0.1054003048182188	False	False	False	0.3333333333333333	0.1883671291355389	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.38042511561721803
KHDRBS3	KHDRBS3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.7070760389469991	6	12	1.0	0.6666666666666666	0.3333333333333333	0.0413027988737422	0.416289592760181	0.1603035066076153	7	3	0.7176639815049326	0.1054003048182188	False	False	False	0.3333333333333333	0.1603035066076153	rna_processing_neuronal_state	branch_specific_cerebellar_context	0.37340920998523713
PLEKHH1	PLEKHH1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.6666666666666666	0.6666666666666666	0.0	0.2697934090450969	6	12	1.0	0.6666666666666666	0.3333333333333333	0.1270088792232677	0.3455418338811176	0.0187450780512876	3	1	0.2762124974314532	0.2342882238099114	False	False	False	0.3333333333333333	0.0187450780512876	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.33801960284615523
