analysis_region	sampling_group	neuron_id	neuron_name	archive	species	strain	brain_region	cell_type	age_classification	age_scale	min_age	max_age	gender	experiment_condition	protocol	domain	attributes	physical_integrity	reconstruction_software	slicing_thickness	reference_pmid	reference_doi	measurements_url
dentate_gyrus	DG_mouse_sample	103687	2417-3-20x-ApoE-WT-Sham-P11	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103687
dentate_gyrus	DG_mouse_sample	103688	2449-1-WT-20x-apo-sham-P1	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103688
dentate_gyrus	DG_mouse_sample	103689	2416-3-20x-ApoE-WT-Sham-P8	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103689
dentate_gyrus	DG_mouse_sample	103690	2452-1-WT-20x-apo-sham-P1	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103690
dentate_gyrus	DG_mouse_sample	103691	2417-3-20x-ApoE-WT-Sham-P10	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103691
dentate_gyrus	DG_mouse_sample	103692	2449-4-WT-20x-apo-sham-P5	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103692
dentate_gyrus	DG_mouse_sample	144971	wt_-41_Neuron2_30_Dendrite-1st-to-3rd-order	Middei_Minichiello	mouse	TrkbGad1-WT	hippocampus;dentate gyrus	principal cell;granule;mature	adult	Month	2.0	2.0	Male	Control	in vitro	Dendrites, No Soma, No Axon	No Diameter, 3D, Angles	Dendrites Incomplete	Neurolucida	100	32361506	10.1016/j.isci.2020.101078	http://neuromorpho.org/api/morphometry/id/144971
dentate_gyrus	DG_mouse_sample	144973	wt_-41_Neuron1_34_Dendrite-4th-order	Middei_Minichiello	mouse	TrkbGad1-WT	hippocampus;dentate gyrus	principal cell;granule;mature	adult	Month	2.0	2.0	Male	Control	in vitro	Dendrites, No Soma, No Axon	No Diameter, 3D, Angles	Dendrites Incomplete	Neurolucida	100	32361506	10.1016/j.isci.2020.101078	http://neuromorpho.org/api/morphometry/id/144973
dentate_gyrus	DG_mouse_sample	144975	ko_-10_Neuron2_80sxB_Dendrite-1st-to-4th-order	Middei_Minichiello	mouse	TrkbGad1-KO	hippocampus;dentate gyrus	principal cell;granule;mature	adult	Month	2.0	2.0	Male	TrKB Knockout	in vitro	Dendrites, No Soma, No Axon	No Diameter, 3D, Angles	Dendrites Incomplete	Neurolucida	100	32361506	10.1016/j.isci.2020.101078	http://neuromorpho.org/api/morphometry/id/144975
dentate_gyrus	DG_mouse_sample	144976	ko_-27_Neuron1_94_Dendrite-2nd-to-3rd-order	Middei_Minichiello	mouse	TrkbGad1-KO	hippocampus;dentate gyrus	principal cell;granule;mature	adult	Month	2.0	2.0	Male	TrKB Knockout	in vitro	Dendrites, No Soma, No Axon	No Diameter, 3D, Angles	Dendrites Incomplete	Neurolucida	100	32361506	10.1016/j.isci.2020.101078	http://neuromorpho.org/api/morphometry/id/144976
