dataset	sample	source_group	specificity_role	module_id	module_label	module_family	n_defined_genes	n_present_genes	present_genes	missing_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		821	0.23665777617028574	0.2462427110942062	0.8333333333333334
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		651	0.3930108402657987	0.40318554464202333	1.0
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		686	0.3173428919241809	0.335846581666111	0.9166666666666666
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		182	0.21734991387942076	0.24517566583524306	0.75
GSE104323	10X_all_cells	PVM	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		79	0.033007008598092635	0.05257445373216174	0.14583333333333334
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		428	0.033007008598092635	0.05600531753908703	0.14583333333333334
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		543	0.15867640524643828	0.18627474930220253	0.5416666666666666
GSE104323	10X_all_cells	VLMC	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		160	0.18280627382567166	0.20196055546204375	0.5833333333333334
GSE104323	10X_all_cells	MOL	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		704	0.033007008598092635	0.036532557689689264	0.14583333333333334
GSE104323	10X_all_cells	NFOL	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		232	0.08532187948705024	0.10047592062260285	0.2916666666666667
GSE104323	10X_all_cells	OPC	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		794	0.12364182978310026	0.13616104553896838	0.375
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		468	0.3584672002120496	0.37749942221006977	0.9583333333333334
GSE104323	10X_all_cells	nIPC	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		353	0.2036507675721931	0.21886729635195587	0.7083333333333334
GSE104323	10X_all_cells	Neuroblast	dentate_granule	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		1381	0.18434290528132813	0.19376637588545295	0.625
GSE104323	10X_all_cells	Immature-GC	dentate_granule	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		2419	0.14497725893921062	0.14670527169833597	0.4583333333333333
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		4520	0.2559656384611507	0.25979330210315105	0.875
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		535	0.12566939664834564	0.13495876876102542	0.4166666666666667
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		1024	0.23462612638917513	0.24468750960674673	0.7916666666666666
GSE104323	10X_all_cells	GABA	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		209	0.10964690919019267	0.12851729998002365	0.3333333333333333
