dataset	sample	branch	source_group	module_id	module_label	n_present_genes	present_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE104323	10X_all_cells	dentate	Immature-GC	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	2419	0.0	0.02595389326961835	0.2708333333333333	True	5.0	immature	postmitotic/immature	Immature-GC
GSE104323	10X_all_cells	dentate	Immature-Pyr	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	4520	0.0	0.03053494701394491	0.2708333333333333	False		other	other	Immature-Pyr
GSE104323	10X_all_cells	dentate	Cajal-Retzius	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	535	0.05331901388922656	0.07086662635348158	0.6875	False		other	other	Cajal-Retzius
GSE104323	10X_all_cells	dentate	Immature-GABA	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	1024	0.0	0.025701832924268683	0.2708333333333333	False		other	other	Immature-GABA
GSE104323	10X_all_cells	dentate	GABA	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	209	0.0	0.016394872884067078	0.2708333333333333	False		other	other	GABA
GSE104323	10X_all_cells	dentate	CA3-Pyr	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	532	0.0	0.007673352006028899	0.2708333333333333	False		other	other	CA3-Pyr
GSE104323	10X_all_cells	dentate	GC-juv	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	3420	0.0	0.009425131539179775	0.2708333333333333	True	6.0	mature	maturing/mature	GC-juv
GSE104323	10X_all_cells	dentate	GC-adult	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	2613	0.0	0.006126986494690963	0.2708333333333333	True	7.0	mature	maturing/mature	GC-adult
GSE104323	10X_all_cells	dentate	RGL	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	199	0.34657359027997264	0.4173363639666733	0.4791666666666667	True	1.0	progenitor	early/progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	1232	0.17328679513998632	0.23782158939169026	0.16666666666666666	False		other	other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	821	0.17328679513998632	0.2400738114147996	0.16666666666666666	False		other	other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	651	0.44793986730701374	0.4999639706739836	0.6666666666666666	False		other	other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	686	0.6212266624470001	0.6590411936721904	0.7916666666666666	True	0.0	progenitor	early/progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	182	0.5493061443340549	0.5703956838199274	0.75	False		other	other	Ependymal
GSE104323	10X_all_cells	dentate	PVM	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	79	0.17328679513998632	0.1668783504761217	0.16666666666666666	False		other	other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	428	0.17328679513998632	0.18389059580433473	0.16666666666666666	False		other	other	MiCajal-Retziusoglia
GSE104323	10X_all_cells	dentate	Endothelial	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	543	0.17328679513998632	0.2263786159762983	0.16666666666666666	False		other	other	Endothelial
GSE104323	10X_all_cells	dentate	VLMC	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	160	0.27465307216702745	0.31978395781767605	0.3541666666666667	False		other	other	VLMC
GSE104323	10X_all_cells	dentate	MOL	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	704	0.27465307216702745	0.3160335427877125	0.3541666666666667	False		other	other	MOL
GSE104323	10X_all_cells	dentate	NFOL	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	232	0.17328679513998632	0.22230942991985198	0.16666666666666666	False		other	other	NFOL
GSE104323	10X_all_cells	dentate	OPC	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	794	0.34657359027997264	0.3630585155474193	0.4791666666666667	False		other	other	OPC
