dataset	sample	group	panel	panel_gene_count	genes_found	coverage_fraction	mean_detection_fraction_found_genes	mean_expression_found_genes	found_genes	missing_genes
GSE104323	10X_all_cells	Immature-GC	morphogenesis_cytoskeleton	13	12	0.923077	0.644653	2.61806	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	Immature-GC	shared_granule_neuronal	12	12	1	0.462416	1.24776	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	Immature-Pyr	axon_guidance_synapse	15	15	1	0.300678	1.00581	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	Immature-Pyr	cerebellar_identity	12	12	1	0.017017	0.0273414	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	Immature-Pyr	dentate_identity	12	12	1	0.302083	0.876328	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	Immature-Pyr	metabolic_proteomic_validation	8	7	0.875	0.877655	5.36612	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	Immature-Pyr	morphogenesis_cytoskeleton	13	12	0.923077	0.846073	9.1447	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	Immature-Pyr	shared_granule_neuronal	12	12	1	0.519635	2.95507	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	MOL	axon_guidance_synapse	15	15	1	0.0678977	0.104924	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	MOL	cerebellar_identity	12	12	1	0.0569366	0.141454	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	MOL	dentate_identity	12	12	1	0.071141	0.111861	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	MOL	metabolic_proteomic_validation	8	7	0.875	0.654627	3.3614	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	MOL	morphogenesis_cytoskeleton	13	12	0.923077	0.352391	1.21674	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	MOL	shared_granule_neuronal	12	12	1	0.103456	0.148319	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	MiCajal-Retziusoglia	axon_guidance_synapse	15	15	1	0.0433021	0.0574766	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	MiCajal-Retziusoglia	cerebellar_identity	12	12	1	0.0163552	0.0181075	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	MiCajal-Retziusoglia	dentate_identity	12	12	1	0.032905	0.0406931	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	MiCajal-Retziusoglia	metabolic_proteomic_validation	8	7	0.875	0.477971	1.12951	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	MiCajal-Retziusoglia	morphogenesis_cytoskeleton	13	12	0.923077	0.192952	0.520833	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	MiCajal-Retziusoglia	shared_granule_neuronal	12	12	1	0.0615265	0.0813864	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	NFOL	axon_guidance_synapse	15	15	1	0.0583333	0.0821839	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	NFOL	cerebellar_identity	12	12	1	0.00395114	0.00431034	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	NFOL	dentate_identity	12	12	1	0.0510058	0.0628592	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	NFOL	metabolic_proteomic_validation	8	7	0.875	0.749384	3.24384	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	NFOL	morphogenesis_cytoskeleton	13	12	0.923077	0.322198	1.26329	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	NFOL	shared_granule_neuronal	12	12	1	0.103807	0.144037	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	Neuroblast	axon_guidance_synapse	15	15	1	0.160174	0.277625	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	Neuroblast	cerebellar_identity	12	12	1	0.0372919	0.0546705	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	Neuroblast	dentate_identity	12	12	1	0.326032	0.882452	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	Neuroblast	metabolic_proteomic_validation	8	7	0.875	0.687701	2.29047	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	Neuroblast	morphogenesis_cytoskeleton	13	12	0.923077	0.524499	1.32488	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	Neuroblast	shared_granule_neuronal	12	12	1	0.383599	1.06825	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	OPC	axon_guidance_synapse	15	15	1	0.0626364	0.0833753	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	OPC	cerebellar_identity	12	12	1	0.0303317	0.0366289	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	OPC	dentate_identity	12	12	1	0.0812343	0.121117	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
