subject	session	unit_index	unit_id	cell_type	state_id	state_label	state_duration_s	spike_count	firing_rate_hz	active_in_state
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	39	rem	58.0	4	0.06896551724137931	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	0	awake	436.0	343	0.786697247706422	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	1	awake	107.0	46	0.42990654205607476	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	2	nrem	503.0	574	1.1411530815109343	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	3	transit	14.0	21	1.5	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	4	rem	84.0	138	1.6428571428571428	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	5	nrem	502.0	538	1.0717131474103585	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	6	transit	19.0	20	1.0526315789473684	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	7	rem	47.0	70	1.4893617021276595	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	8	nrem	870.0	951	1.0931034482758621	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	9	transit	16.0	31	1.9375	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	10	rem	166.0	209	1.2590361445783131	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	11	nrem	885.0	966	1.0915254237288134	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	12	transit	14.0	44	3.142857142857143	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	13	rem	134.0	193	1.4402985074626866	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	14	nrem	568.0	547	0.9630281690140845	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	15	awake	1508.0	996	0.6604774535809018	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	16	nrem	1130.0	1484	1.3132743362831858	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	17	transit	8.0	8	1.0	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	18	rem	67.0	155	2.3134328358208953	True
YutaMouse41	YutaMouse41-150829	11	11	pyramidal cell	19	nrem	681.0	792	1.1629955947136563	True
