gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity
ADSS	ADSS	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3094785999809357	0.3523738572521132	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.3094785999809357	cerebellar_biased
AES	AES	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	4	8	1.0	0.5	0.5	0.0026969059924538533	0.46811281932988724	0.9051636811562387	5	2	0.20418218837049995	0.02999337679624372	True	False	1.0	0.46811281932988724	cerebellar_biased
AGGF1	AGGF1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.009723425626736441	0.2795325988115299	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.009723425626736441	cerebellar_biased
AGPAT4	AGPAT4	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.7618102006688963	0.4229908686333492	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.4229908686333492	cerebellar_biased
AHCY	AHCY	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.05450413456340555	0.08978595695767957	3	2	0.20418218837049995	0.01922337276925927	True	False	1.0	0.05450413456340555	cerebellar_biased
AHSA1	AHSA1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.2528997964639619	0.4329719800805084	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.2528997964639619	cerebellar_biased
AIFM1	AIFM1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.10446316767051404	0.1909737973917031	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.10446316767051404	cerebellar_biased
AIG1	AIG1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6472379522651261	0.5835304306059923	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.5835304306059923	cerebellar_biased
AIMP1	AIMP1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19645948712957642	0.44923288026978836	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19645948712957642	cerebellar_biased
AIMP2	AIMP2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.08677626436744468	0.23272151447633865	5	2	0.20418218837049995	0.01922337276925927	True	False	1.0	0.08677626436744468	cerebellar_biased
