sample_accession	donor_id	marker_call	marker_confidence	feature_type	model_term_supported	target_set	peak_category	n_barcodes	n_features	n_linked_gene_strings	mean_count	mean_detection_fraction	mean_feature_score	median_feature_score
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 3 broad both-screen mechanism support	proximal_10kb	4609	7	4	0.05554350184421784	0.02851563710752255	0.08241154115539005	0.09450624785543052
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	4609	265	16	0.14581806719420984	0.06652284087327093	0.19301775576107366	0.12723490985909053
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_body_overlap	4609	93	15	0.22023996995126413	0.0968045222414304	0.2777959686506217	0.15857866937951143
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_edge_2kb	4609	10	9	0.3884573660229985	0.17264048600564114	0.4878096722218275	0.47045436441476185
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 4 screen-specific mechanism support	proximal_10kb	4609	31	12	0.1318108329425598	0.06165356700424835	0.1796397659536512	0.12795511485786348
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 5 exploratory non-identical ortholog	distal_100kb	4609	331	29	0.16105622848767584	0.07251804069143584	0.2112309468878932	0.13389426745720473
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 5 exploratory non-identical ortholog	gene_body_overlap	4609	37	27	0.5274814845220572	0.20678109222261967	0.6059619782590494	0.6322085408152017
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 5 exploratory non-identical ortholog	gene_edge_2kb	4609	7	6	0.26457551994544837	0.1244149645104299	0.3521730310516861	0.3297747842930833
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 5 exploratory non-identical ortholog	proximal_10kb	4609	18	12	0.19537860707311783	0.08612376750801572	0.2509478020999148	0.20382065621018966
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	deep_neural_progenitor	distal_100kb	4609	7	1	0.17589808759259834	0.07565942410811145	0.2237216234668177	0.08555695746103044
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	deep_neural_progenitor	gene_edge_2kb	4609	1	1	0.014319809069212411	0.00846170535908006	0.02267995436135916	0.02267995436135916
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	deep_neural_progenitor	proximal_10kb	4609	1	1	0.04621392926882187	0.02278151442829247	0.06795938044890056	0.06795938044890056
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_neurite_morphology	distal_100kb	4609	321	18	0.14539276736765194	0.06648376567855523	0.19281171704446567	0.12471783926253258
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_neurite_morphology	gene_body_overlap	4609	248	20	0.11622159309625628	0.053994113900573217	0.15587590424189643	0.07826756617384929
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_neurite_morphology	gene_edge_2kb	4609	16	14	0.291101648947711	0.1356178129746149	0.38415773360104266	0.37687109787022777
