dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE104323	10X_all_cells	Immature-GC	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	2419	8	7	5.48491	0.685614	21.2183	2.65228	0.950052	1.08577	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GC	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	2419	13	12	7.73584	0.595065	31.4167	2.41667	0.83752	0.907314	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GC	mouse	dentate_gyrus	10x	shared_granule_neuronal	2419	12	12	5.54899	0.462416	14.9731	1.24776	0.537843	0.537843	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	mouse	dentate_gyrus	10x	axon_guidance_synapse	4520	15	15	4.51018	0.300678	15.0872	1.00581	0.375411	0.375411	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	mouse	dentate_gyrus	10x	cerebellar_identity	4520	12	12	0.204204	0.017017	0.328097	0.0273414	0.0151705	0.0151705	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	mouse	dentate_gyrus	10x	dentate_identity	4520	12	12	3.625	0.302083	10.5159	0.876327	0.369587	0.369587	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	4520	8	7	6.14358	0.767948	37.5628	4.69535	1.29732	1.48265	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	4520	13	12	10.1529	0.78099	109.736	8.44125	1.57902	1.7106	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	mouse	dentate_gyrus	10x	shared_granule_neuronal	4520	12	12	6.23562	0.519635	35.4608	2.95507	0.77779	0.77779	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	mouse	dentate_gyrus	10x	axon_guidance_synapse	704	15	15	1.01847	0.0678977	1.57386	0.104924	0.0594221	0.0594221	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	mouse	dentate_gyrus	10x	cerebellar_identity	704	12	12	0.683239	0.0569366	1.69744	0.141454	0.0647325	0.0647325	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	mouse	dentate_gyrus	10x	dentate_identity	704	12	12	0.853693	0.0711411	1.34233	0.111861	0.0630377	0.0630377	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	704	8	7	4.58239	0.572798	23.5298	2.94123	0.866912	0.990757	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	704	13	12	4.22869	0.325284	14.6009	1.12314	0.42289	0.458131	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	mouse	dentate_gyrus	10x	shared_granule_neuronal	704	12	12	1.24148	0.103456	1.77983	0.148319	0.0858839	0.0858839	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	mouse	dentate_gyrus	10x	axon_guidance_synapse	428	15	15	0.649533	0.0433022	0.86215	0.0574766	0.0349633	0.0349633	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	mouse	dentate_gyrus	10x	cerebellar_identity	428	12	12	0.196262	0.0163551	0.21729	0.0181075	0.0120241	0.0120241	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	mouse	dentate_gyrus	10x	dentate_identity	428	12	12	0.39486	0.032905	0.488318	0.0406931	0.025574	0.025574	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	428	8	7	3.34579	0.418224	7.90654	0.988318	0.448477	0.512545	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	428	13	12	2.31542	0.178109	6.25	0.480769	0.194755	0.210984	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	mouse	dentate_gyrus	10x	shared_granule_neuronal	428	12	12	0.738318	0.0615265	0.976636	0.0813863	0.049324	0.049324	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	mouse	dentate_gyrus	10x	axon_guidance_synapse	232	15	15	0.875	0.0583333	1.23276	0.0821839	0.04886	0.04886	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	mouse	dentate_gyrus	10x	cerebellar_identity	232	12	12	0.0474138	0.00395115	0.0517241	0.00431034	0.00288437	0.00288437	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	mouse	dentate_gyrus	10x	dentate_identity	232	12	12	0.612069	0.0510057	0.75431	0.0628592	0.0395631	0.0395631	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
