dataset	sample	source_group	specificity_role	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank
GSE104323	10X_all_cells	GABA	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	209	0.0	0.20594220451011377	0.24880382775119617	0.4791666666666667
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	651	0.0	0.05651312608939464	0.07219662058371736	0.4791666666666667
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	1024	0.0	0.10944234055288724	0.1416015625	0.4791666666666667
GSE104323	10X_all_cells	MOL	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	704	0.0	0.03265857953712298	0.04261363636363636	0.4791666666666667
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	428	0.0	0.04494911686654923	0.056074766355140186	0.4791666666666667
GSE104323	10X_all_cells	NFOL	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	232	0.0	0.046563244898738546	0.0603448275862069	0.4791666666666667
GSE104323	10X_all_cells	OPC	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	794	0.0	0.12768632044323144	0.172544080604534	0.4791666666666667
GSE104323	10X_all_cells	PVM	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	79	0.0	0.03145451455427849	0.0379746835443038	0.4791666666666667
GSE104323	10X_all_cells	RGL	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	199	0.0	0.033385878056018455	0.04522613065326633	0.4791666666666667
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	686	0.0	0.045736258302290514	0.056851311953352766	0.4791666666666667
GSE104323	10X_all_cells	VLMC	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	160	0.0	0.03792765992652569	0.04375	0.4791666666666667
GSE104323	10X_all_cells	nIPC	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	353	0.0	0.036011941420373325	0.0453257790368272	0.4791666666666667
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	468	0.0	0.04172201728917703	0.05555555555555555	0.4791666666666667
GSE122357	P0	Granule cells	cerebellar_granule	KCNK1	Kcnk1	Kcnk1	2814	0.0	0.43834620984677986	0.4331911869225302	0.5625
GSE122357	P0	Granule precursor	cerebellar_granule	KCNK1	Kcnk1	Kcnk1	2553	0.0	0.13648770567496873	0.16529573051312182	0.5625
GSE122357	P0	Purkinje cells	purkinje_comparator	KCNK1	Kcnk1	Kcnk1	92	0.0	0.3516945918302502	0.42391304347826086	0.5625
GSE122357	P0	Astrocytes	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	1230	0.0	0.0430634116328353	0.05609756097560976	0.5625
GSE122357	P0	Endothelial cells	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	15	0.0	0.046209812037329684	0.06666666666666667	0.5625
GSE122357	P0	Interneuron	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	418	0.0	0.06026044155854258	0.08133971291866028	0.5625
GSE122357	P0	Microglia	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	112	0.0	0.012377628224284737	0.017857142857142856	0.5625
GSE122357	P0	Oligodendrocytes	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	44	0.0	0.09452007007635617	0.13636363636363635	0.5625
GSE122357	P8a	Granule cells	cerebellar_granule	KCNK1	Kcnk1	Kcnk1	1367	0.6931471805599453	0.7636692026815463	0.7015362106803219	0.875
GSE122357	P8a	Granule precursor	cerebellar_granule	KCNK1	Kcnk1	Kcnk1	3254	0.0	0.37922980111381477	0.3998156115550092	0.4375
GSE122357	P8a	Purkinje cells	purkinje_comparator	KCNK1	Kcnk1	Kcnk1	86	0.8958797346140275	0.8176823331363743	0.7441860465116279	1.0
GSE122357	P8a	Astrocytes	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	292	0.0	0.05737436770238038	0.07876712328767123	0.4375
GSE122357	P8a	Endothelial cells	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	8	0.0	0.0	0.0	0.4375
GSE122357	P8a	Interneuron	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	570	0.0	0.13245974595311374	0.15789473684210525	0.4375
GSE122357	P8a	Microglia	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	102	0.0	0.044748511681057215	0.058823529411764705	0.4375
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	173	0.0	0.2577925672862952	0.2774566473988439	0.4375
GSE122357	P8b	Granule cells	cerebellar_granule	KCNK1	Kcnk1	Kcnk1	1883	0.6931471805599453	0.6329853232163584	0.6420605416887945	0.9375
GSE122357	P8b	Granule precursor	cerebellar_granule	KCNK1	Kcnk1	Kcnk1	4309	0.0	0.25972911003889404	0.2942678115572058	0.4375
