analysis_class	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	background_max_mean	background_max_median	background_max_q25	background_max_q75	broad_class	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	dataset	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	identity_rank_contrast_mean	identity_rank_contrast_median	identity_rank_contrast_q25	identity_rank_contrast_q75	label	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	n_cells_or_spots	platform	region	sample	sample_context	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	source_layer	species	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id
backbone_other_or_ambiguous		1.01585							other_or_ambiguous		0.150675				0.504988			GSE214309		0.088034				0.0261845			-0.478803	-0.478803			mature_1hr		1.30598			2	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.408				0.531172			backbone_refined	mouse		1.24328				0.417706			backbone_refined|GSE214309|snRNA_counts|mature_1hr|backbone_other_or_ambiguous
backbone_dentate_candidate		1.34377							dentate_candidate		0.205246				0.738155			GSE214309		1.67145				0.786783			0.048628	0.048628			mature_4hr		2.06532			24	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.88246				0.794264			backbone_refined	mouse		1.81327				0.76808			backbone_refined|GSE214309|snRNA_counts|mature_4hr|backbone_dentate_candidate
backbone_dentate_low_support		1.49933							dentate_low_support		0.111238				0.523067			GSE214309		0.828557				0.357855			-0.165212	-0.165212			mature_4hr		1.70831			20	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.587				0.63591			backbone_refined	mouse		1.58763				0.61596			backbone_refined|GSE214309|snRNA_counts|mature_4hr|backbone_dentate_low_support
backbone_dentate_candidate		1.07821							dentate_candidate		0.0992658				0.476309			GSE214309		1.46922				0.708229			0.23192	0.23192			matureactive_1hr		1.60024			9	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.70918				0.698254			backbone_refined	mouse		1.31297				0.446384			backbone_refined|GSE214309|snRNA_counts|matureactive_1hr|backbone_dentate_candidate
backbone_dentate_low_support		0.697099							dentate_low_support		0.0627855				0.356608			GSE214309		0.669817				0.271821			-0.084787	-0.084787			matureactive_1hr		0.916459			46	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.875555				0.243142			backbone_refined	mouse		0.884193				0.215711			backbone_refined|GSE214309|snRNA_counts|matureactive_1hr|backbone_dentate_low_support
backbone_other_or_ambiguous		0.574086							other_or_ambiguous		0.21802				0.734414			GSE214309		0.175264				0.0567331			-0.677681	-0.677681			matureactive_1hr		0.767885			6	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.689097				0.184538			backbone_refined	mouse		0.648493				0.112219			backbone_refined|GSE214309|snRNA_counts|matureactive_1hr|backbone_other_or_ambiguous
backbone_dentate_candidate		1.92626							dentate_candidate		0.0759337				0.432045			GSE214309		1.68663				0.798005			0.36596	0.36596			matureactive_4hr		1.37759			18	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.75479				0.735661			backbone_refined	mouse		1.68644				0.685785			backbone_refined|GSE214309|snRNA_counts|matureactive_4hr|backbone_dentate_candidate
backbone_dentate_low_support		1.71054							dentate_low_support		0.0489071				0.305486			GSE214309		0.709952				0.291771			-0.013715	-0.013715			matureactive_4hr		1.28221			34	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.52062				0.594763			backbone_refined	mouse		1.57241				0.604738			backbone_refined|GSE214309|snRNA_counts|matureactive_4hr|backbone_dentate_low_support
backbone_other_or_ambiguous		1.73606							other_or_ambiguous		0.9255				0.988778			GSE214309		0.377883				0.145886			-0.842892	-0.842892			matureactive_4hr		1.28218			2	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.63119				0.620947			backbone_refined	mouse		1.54981				0.59227			backbone_refined|GSE214309|snRNA_counts|matureactive_4hr|backbone_other_or_ambiguous
backbone_dentate_candidate		3.14311							dentate_candidate		0.144457				0.626316			GSE214905		4.19493				0.78421			0.157894	0.157894			all		4.63348			38	patch_seq	dentate_gyrus	patch_RNA_QC_counts	dentate_gyrus		4.7592				0.742105			backbone_refined	mouse		4.07315				0.726316			backbone_refined|GSE214905|patch_RNA_QC_counts|all|backbone_dentate_candidate
backbone_dentate_low_support		1.77797							dentate_low_support		0				0.268421			GSE214905		2.48533				0.310526			0.042105	0.042105			all		3.168			56	patch_seq	dentate_gyrus	patch_RNA_QC_counts	dentate_gyrus		3.39051				0.310526			backbone_refined	mouse		2.71277				0.321052			backbone_refined|GSE214905|patch_RNA_QC_counts|all|backbone_dentate_low_support
