dataset	species	region	axis_type	axis_label	axis_order	comparison_group	module_id	module_label	paper_readout	trajectory_role	orientation	n_cells	n_genes_present	genes_present	module_score	mean_module_rank	median_detection_fraction	median_mean_log1p_expression	n_genes_defined	module_gene_coverage
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	468	13	BDNF,BMP6,CXCL12,GDF11,INHBB,NTF3,RELN,SEMA3A,SFRP1,SFRP2,SLIT2,TGFB2,TGFB3	1.0	0.7548076923076923	0.053418803418803416	0.038759849850886666	13	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	468	9	AKT1,AKT2,BCL2,BCL2L1,BCL2L2,BDNF,CREB1,MCL1,NTRK2	0.875	0.75	0.297008547008547	0.23895554130609825	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	468	14	CDKN1A,CDKN1B,ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2	0.9375	0.8928571428571429	0.16987179487179488	0.12713720996982475	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	1381	11	APAF1,BAD,BAK1,BAX,BBC3,BID,CASP3,CASP7,CASP8,CASP9,PMAIP1	0.75	0.6590909090909091	0.04055032585083273	0.02898815165509155	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	1381	16	BDNF,CREB1,DUSP1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAP2K2,MAPK1,MAPK3,NTRK2,SHC1,SOS1	0.5	0.4453125	0.18175235336712525	0.14085695798622794	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	1381	9	BTG1,BTG2,CDKN1A,CDKN1B,CDKN1C,GADD45A,GADD45B,TOB1,TOB2	0.625	0.6527777777777778	0.10137581462708183	0.08046139224696533	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	1381	11	ASCL1,ATOH1,DCX,EOMES,HES1,HES5,NES,NEUROD1,NEUROD2,SOX11,SOX2	0.75	0.7386363636363636	0.15785662563359884	0.134186628852478	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	1381	11	CAMK2A,DLG4,MAP2,NEFL,NEFM,RBFOX3,SNAP25,SYN1,SYN2,SYP,TUBB3	0.625	0.5795454545454546	0.1339608979000724	0.10068760374138697	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	1381	15	AURKB,CCNB1,CCND1,CCND2,CCNE1,E2F1,MCM2,MCM3,MCM4,MCM5,MCM6,MKI67,MYBL2,PCNA,TOP2A	0.625	0.6166666666666667	0.04779145546705286	0.039681808669178656	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	1381	13	BDNF,BMP6,CXCL12,GDF11,INHBB,NTF3,RELN,SEMA3A,SFRP1,SFRP2,SLIT2,TGFB2,TGFB3	0.5	0.4855769230769231	0.028240405503258507	0.020957481931008184	13	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	1381	9	AKT1,AKT2,BCL2,BCL2L1,BCL2L2,BDNF,CREB1,MCL1,NTRK2	0.5	0.4444444444444444	0.15351194786386677	0.11382273026580039	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	1381	14	CDKN1A,CDKN1B,ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2	0.625	0.5714285714285714	0.04779145546705286	0.03826179659775156	14	1.0
