gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection	branch_specificity
SNAP25-AS1	SNAP25-AS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	2.2228221507617655e-13	1	2	1.0	0.5	0.5	0.3333333333333333	0.5543000627746391	0.0017555059048834983	3	0	3.6033641591945207e-13	0.4804597701149425	False	False	False	1.0	0.0017555059048834983	dentate_biased
TCEAL2	TCEAL2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.873987827642204e-15	1	2	1.0	0.5	0.5	0.3333333333333333	0.2165991902834008	0.33063357804021704	3	1	3.788145012260895e-15	0.4804597701149425	False	False	False	1.0	0.2165991902834008	dentate_biased
TCEAL4	TCEAL4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	3.5046158941571256e-16	1	2	1.0	0.5	0.5	0.3333333333333333	0.20113314447592068	0.5910868177465688	3	1	7.670546795587089e-16	0.4804597701149425	False	False	False	1.0	0.20113314447592068	dentate_biased
TMEM178A	TMEM178A	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	3.813005459902818e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.5703929797787104	0.1379269071177785	3	1	4.439296211770914e-08	0.4804597701149425	False	False	False	1.0	0.1379269071177785	dentate_biased
TP53BP1	TP53BP1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	2.8058265988751974e-19	1	2	1.0	0.5	0.5	0.3333333333333333	0.5244530244530244	0.20096552824768593	3	1	1.0367696580852306e-18	0.4804597701149425	False	False	False	1.0	0.20096552824768593	dentate_biased
TPT1-AS1	TPT1-AS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	6.15426566808029e-21	1	2	1.0	0.5	0.5	0.3333333333333333	0.6068211068211068	0.15372646026172998	2	1	3.148255243883526e-20	0.4804597701149425	False	False	False	1.0	0.15372646026172998	dentate_biased
TRAF3IP2-AS1	TRAF3IP2-AS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	2.8058265988751974e-19	1	2	1.0	0.5	0.5	0.3333333333333333	0.7398703403565641	0.047677944462176824	3	0	1.0367696580852306e-18	0.4804597701149425	False	False	False	1.0	0.047677944462176824	dentate_biased
TTN-AS1	TTN-AS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	6.28229462358936e-17	1	2	1.0	0.5	0.5	0.3333333333333333	0.5715622076707203	0.01719597829556336	3	0	1.534492909748347e-16	0.4804597701149425	False	False	False	1.0	0.01719597829556336	dentate_biased
TTTY14	TTTY14	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	8.261700242357197e-16	1	2	1.0	0.5	0.5	0.3333333333333333	0.6892655367231638	0.03203798276412384	3	0	1.7574458461428543e-15	0.4804597701149425	False	False	False	1.0	0.03203798276412384	dentate_biased
UBA6-AS1	UBA6-AS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.00133260169616e-09	1	2	1.0	0.5	0.5	0.3333333333333333	0.5731832139201638	0.04632141717203958	3	0	1.2723435343169133e-09	0.4804597701149425	False	False	False	1.0	0.04632141717203958	dentate_biased
