selected_feature_index	feature_index	gene	selection_reason	max_feature_score	GSE185277	GSE185553	GSE186538	is_marker_panel_gene	present_in_gse268609	gse268609_feature_id	gse268609_feature_name	source_matrix_row_1based	n_matching_gene_rows
1745	1745	TP53BP1	high_information_gene	7.718194122021464	0.1171391551057793	0.193750063952358	0.5549942308292014	False	True	ENSG00000067369	TP53BP1	25513.0	1
1746	1746	TAX1BP1	high_information_gene	7.718187546021293	0.1683533275249648	0.1890431703997789	0.5514079895219385	False	True	ENSG00000106052	TAX1BP1	13323.0	1
1747	1747	CCDC57	high_information_gene	7.716465160159889	0.084545271764627	0.1895036273777486	0.5537780272554339	False	True	ENSG00000176155	CCDC57	30026.0	1
1748	1748	KDM5A	high_information_gene	7.71218512548401	0.1187029466300292	0.2084949196246764	0.5538092119624536	False	True	ENSG00000073614	KDM5A	20987.0	1
1749	1749	PACS1	high_information_gene	7.702731566232212	0.1235730402341219	0.2349251501601367	0.5440483986652945	False	True	ENSG00000175115	PACS1	20045.0	1
1750	1750	BBS9	high_information_gene	7.692340805450718	0.0852266380716216	0.2117488156023289	0.5438301057161568	False	True	ENSG00000122507	BBS9	13384.0	1
1751	1751	ATM	high_information_gene	7.6880312959367725	0.0966869959564819	0.204770334291766	0.5495680918077774	False	True	ENSG00000149311	ATM	20564.0	1
1752	1752	NAPB	high_information_gene	7.68102074699993	0.128990460871702	0.1124640587747751	0.542457978607291	False	True	ENSG00000125814	NAPB	33175.0	1
1753	1753	FAM193A	high_information_gene	7.680334357437571	0.1037575676339834	0.2000941378710515	0.5522499766114697	False	True	ENSG00000125386	FAM193A	7914.0	1
1754	1754	KLHL3	high_information_gene	7.674154040230281	0.0813394991399146	0.1774498869322309	0.5482271494059313	False	True	ENSG00000146021	KLHL3	10538.0	1
1755	1755	CHD2	high_information_gene	7.667905043207823	0.1231820923530594	0.2319884578784189	0.5424267939002713	False	True	ENSG00000173575	CHD2	26308.0	1
1756	1756	SLC4A8	high_information_gene	7.664751449328811	0.1301968143332663	0.2229737334875011	0.5424267939002713	False	True	ENSG00000050438	SLC4A8	21719.0	1
1757	1757	KIAA1328	high_information_gene	7.664541061892716	0.0877622143287983	0.2081981806833181	0.5390588455421461	False	True	ENSG00000150477	KIAA1328	30461.0	1
1758	1758	SESTD1	high_information_gene	7.658048685142954	0.1119116234390009	0.2073079638592434	0.5481335952848723	False	True	ENSG00000187231	SESTD1	5250.0	1
1759	1759	NAA25	high_information_gene	7.64474263236972	0.0890244174876572	0.1817167882614167	0.5472604234883214	False	True	ENSG00000111300	NAA25	22520.0	1
1760	1760	TPT1	high_information_gene	7.644031951848177	0.109878694457476	0.0813167023094475	0.5290173698818099	False	True	ENSG00000133112	TPT1	23181.0	1
1761	1761	AP3B2	high_information_gene	7.632305447690227	0.1131738265978598	0.159543226677854	0.5468238375900458	False	True	ENSG00000103723	AP3B2	26148.0	1
1762	1762	PEAK1	high_information_gene	7.630744102667331	0.1273931595290753	0.2621023442376367	0.5338821841768796	False	True	ENSG00000173517	PEAK1	26053.0	1
1763	1763	MDN1	high_information_gene	7.627476035327673	0.1077564059602796	0.2117283508477524	0.5457947422583965	False	True	ENSG00000112159	MDN1	12310.0	1
1764	1764	SERINC3	high_information_gene	7.616777364957137	0.1099568840336885	0.098015942043815	0.5392459537842642	False	True	ENSG00000132824	SERINC3	33472.0	1
1765	1765	ITSN2	high_information_gene	7.609366072853195	0.1307329714272948	0.2428859396903682	0.5414600679826613	False	True	ENSG00000198399	ITSN2	3681.0	1
1766	1766	ZNF385B	high_information_gene	7.592189021938752	0.095893930254898	0.1992960124425707	0.5122399975052234	False	True	ENSG00000144331	ZNF385B	5252.0	1
1767	1767	ESRRG	high_information_gene	7.584183287377214	0.1212161830082881	0.242210602789346	0.5142358187544828	False	True	ENSG00000196482	ESRRG	2981.0	1
1768	1768	NEMF	high_information_gene	7.576290135444078	0.1532180595581171	0.2143887689426884	0.5415536221037204	False	True	ENSG00000165525	NEMF	24203.0	1
1769	1769	KAT6A	high_information_gene	7.57567595022159	0.1049527511560887	0.2133041369501376	0.5401191255808152	False	True	ENSG00000083168	KAT6A	15239.0	1
1770	1770	THOC2	high_information_gene	7.574144914112483	0.1178428612916918	0.2104288389321491	0.5399008326316774	False	True	ENSG00000125676	THOC2	36137.0	1
1771	1771	PLEKHA6	high_information_gene	7.563403705708342	0.097290172687264	0.1868943711692537	0.537811457261359	False	True	ENSG00000143850	PLEKHA6	2802.0	1
1772	1772	PPP2R2A	high_information_gene	7.558311565814604	0.1184572079619328	0.1885417839126564	0.5373125019490442	False	True	ENSG00000221914	PPP2R2A	15052.0	1
1773	1773	RUFY2	high_information_gene	7.553064674904321	0.1457118602417174	0.2406041195550962	0.5394954314404217	False	True	ENSG00000204130	RUFY2	18112.0	1
1774	1774	KDM6A	high_information_gene	7.552914445889979	0.0846904809775931	0.2169059337555894	0.5347553559734306	False	True	ENSG00000147050	KDM6A	35575.0	1
1775	1775	TMSB10	high_information_gene	7.550437197167539	0.1731228916739271	0.051264210213959	0.5118657810209873	False	True	ENSG00000034510	TMSB10	4312.0	1
1776	1776	EVI5	high_information_gene	7.548227805915851	0.1116993945892813	0.2416273572839177	0.5302023887485577	False	True	ENSG00000067208	EVI5	1475.0	1
1777	1777	KCNQ1OT1	high_information_gene	7.54529054821068	0.1530058307083975	0.3209589783994515	0.5201609130882215	False	True	ENSG00000269821	KCNQ1OT1	19035.0	1
1778	1778	SSBP3	high_information_gene	7.536574518396259	0.1054218886133637	0.1835688485505837	0.5346618018523716	False	True	ENSG00000157216	SSBP3	1135.0	1
1779	1779	TTBK2	high_information_gene	7.535606357954998	0.1059133659495565	0.1917342856265796	0.5326347958960925	False	True	ENSG00000128881	TTBK2	25497.0	1
