dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE214309	snRNA_counts	immatureactive_1hr	mouse	dentate_gyrus	snRNA_seq	cerebellar_identity	42	11	11	0.880952	0.0800866	15.224	1.384	0.144356	0.144356	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_1hr	mouse	dentate_gyrus	snRNA_seq	dentate_identity	42	8	8	2.78571	0.348214	930.354	116.294	1.14157	1.14157	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_1hr	mouse	dentate_gyrus	snRNA_seq	metabolic_proteomic_validation	42	8	6	2.7381	0.342262	613.837	76.7296	1.22289	1.63052	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_1hr	mouse	dentate_gyrus	snRNA_seq	morphogenesis_cytoskeleton	42	12	12	3.80952	0.31746	2268.16	189.013	1.30941	1.30941	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_1hr	mouse	dentate_gyrus	snRNA_seq	shared_granule_neuronal	42	13	12	3.95238	0.304029	1167.2	89.7844	1.09938	1.191	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_4hr	mouse	dentate_gyrus	snRNA_seq	axon_guidance_synapse	32	15	15	5.75	0.383333	2465.74	164.383	1.49553	1.49553	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_4hr	mouse	dentate_gyrus	snRNA_seq	cerebellar_identity	32	11	11	0.96875	0.0880682	3.83188	0.348352	0.115023	0.115023	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_4hr	mouse	dentate_gyrus	snRNA_seq	dentate_identity	32	8	8	2.90625	0.363281	1038.1	129.762	1.48587	1.48587	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_4hr	mouse	dentate_gyrus	snRNA_seq	metabolic_proteomic_validation	32	8	6	4.0625	0.507812	2001.51	250.189	2.21381	2.95175	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_4hr	mouse	dentate_gyrus	snRNA_seq	morphogenesis_cytoskeleton	32	12	12	5.03125	0.419271	3090.37	257.531	1.77174	1.77174	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_4hr	mouse	dentate_gyrus	snRNA_seq	shared_granule_neuronal	32	13	12	5.6875	0.4375	2686.16	206.628	1.68087	1.82095	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_1hr	mouse	dentate_gyrus	snRNA_seq	axon_guidance_synapse	44	15	15	5.20455	0.34697	914.191	60.9461	1.08706	1.08706	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
