summary_level	n_contrasts	n_positive	fraction_positive	median_delta	mean_delta	sign_test_p	wilcoxon_p	branch_kind	expression_layer	pathway_id
by_id_layer_branch	6	1	0.16666666666666666	0.0	0.08333333333333333	0.984375	0.5	cerebellar	selected_feature_matrix	bdnf_trkb_mapk
by_id_layer_branch	6	1	0.16666666666666666	0.0	0.08333333333333333	0.984375	0.5	cerebellar	selected_feature_matrix	bmp_smad
by_id_layer_branch	6	2	0.3333333333333333	0.0	0.16666666666666666	0.890625	0.25	cerebellar	selected_feature_matrix	fgf_mapk
by_id_layer_branch	6	6	1.0	0.5	0.5	0.015625	0.015625	cerebellar	selected_feature_matrix	notch_hes
by_id_layer_branch	6	2	0.3333333333333333	0.0	0.16666666666666666	0.890625	0.25	cerebellar	selected_feature_matrix	reelin_migration_stop
by_id_layer_branch	6	1	0.16666666666666666	-0.16666666666666663	-0.19444444444444442	0.984375	0.96875	cerebellar	selected_feature_matrix	semaphorin_guidance
by_id_layer_branch	6	5	0.8333333333333334	0.5	0.3333333333333333	0.109375	0.03125	cerebellar	selected_feature_matrix	shh_granule_expansion
by_id_layer_branch	6	0	0.0	-0.49999999999999994	-0.4166666666666666	1.0	1.0	cerebellar	selected_feature_matrix	tgf_beta_smad
by_id_layer_branch	6	0	0.0	-0.49999999999999994	-0.4166666666666666	1.0	1.0	cerebellar	selected_feature_matrix	wnt_beta_catenin
by_id_layer_branch	49	36	0.7346938775510204	0.5	0.3673469387755103	0.0007013442518477575	2.367832598327273e-09	dentate	selected_feature_matrix	bdnf_trkb_mapk
by_id_layer_branch	49	42	0.8571428571428571	0.5	0.4251700680272109	1.8122891631833227e-07	4.186998434694662e-10	dentate	selected_feature_matrix	bmp_smad
by_id_layer_branch	49	37	0.7551020408163265	0.5	0.3843537414965987	0.00023487865900406746	1.4209456638073827e-09	dentate	selected_feature_matrix	fgf_mapk
by_id_layer_branch	49	26	0.5306122448979592	0.5	0.18707482993197277	0.38772482734078295	2.9296746461816337e-06	dentate	selected_feature_matrix	notch_hes
by_id_layer_branch	49	30	0.6122448979591837	0.5	0.3129251700680272	0.07620388598073902	5.067356803578975e-08	dentate	selected_feature_matrix	reelin_migration_stop
by_id_layer_branch	49	43	0.8775510204081632	0.5	0.4319727891156463	2.8638826421456542e-08	1.779970859294499e-10	dentate	selected_feature_matrix	semaphorin_guidance
by_id_layer_branch	48	1	0.020833333333333332	0.0	0.0	0.9999999999999964	0.5	dentate	selected_feature_matrix	shh_granule_expansion
by_id_layer_branch	49	46	0.9387755102040817	0.5	0.47278911564625853	3.490541189421492e-11	9.449484085174341e-12	dentate	selected_feature_matrix	tgf_beta_smad
by_id_layer_branch	49	41	0.8367346938775511	0.5	0.3979591836734694	9.823268882769298e-07	1.3444969171923843e-08	dentate	selected_feature_matrix	wnt_beta_catenin
