analysis_region	sampling_group	neuron_id	neuron_name	archive	species	strain	brain_region	cell_type	age_classification	age_scale	min_age	max_age	gender	experiment_condition	protocol	domain	attributes	physical_integrity	reconstruction_software	slicing_thickness	reference_pmid	reference_doi	measurements_url	neuron_name_morph	surface	volume	n_stems	n_bifs	n_branch	width	height	depth	diameter	eucDistance	pathDistance	branch_Order	contraction	fragmentation	partition_asymmetry	pk_classic	bif_ampl_local	fractal_Dim	soma_Surface	bif_ampl_remote	length	is_control_like	dendrites_present	moderate_or_complete_dendrites	has_core_morphometry	analysis_inclusion	compact_branch_index
dentate_gyrus	DG_human_all	276160	H17-06-015-21-09-06_669903838_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer	principal cell;granule	adult	Year	19.0	19.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276160	H17-06-015-21-09-06_669903838_m_dendriteaxon	19733.9	6996.53	3.0	31.0	65.0	126.893	1034.75	667.84	0.670937	782.303	1269.43	8.0	0.854184	7609.0	0.359601	1.93257	67.7245	1.034	331.474	70.0753	9299.38	False	True	True	True	True	0.006989713292714138
dentate_gyrus	DG_human_all	276173	H17-06-014-11-12-01_663006852_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	44.0	44.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276173	H17-06-014-11-12-01_663006852_m_dendriteaxon	13365.0	4225.67	5.0	18.0	41.0	150.586	520.441	86.48	0.94161	532.853	612.235	6.0	0.886306	3924.0	0.418651	2.0	68.1298	1.02676	159.936	27.6283	4466.25	False	True	True	True	True	0.009179960817240413
dentate_gyrus	DG_human_all	276186	H18-06-368-99-06-03_813161720_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	59.0	59.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276186	H18-06-368-99-06-03_813161720_m_dendriteOnly	8048.73	1859.08	3.0	10.0	23.0	277.496	535.967	71.22	0.767587	581.822	658.655	4.0	0.873819	2907.0	0.55	1.91222	81.904	1.03222	128.335	25.3626	3308.85	False	True	True	True	True	0.00695105550266709
dentate_gyrus	DG_human_all	276201	H18-06-366-99-02-03_790840300_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	38.0	38.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276201	H18-06-366-99-02-03_790840300_m_dendriteOnly	18245.3	8069.79	4.0	15.0	34.0	182.418	533.221	103.05	1.4728	551.739	697.158	6.0	0.819197	1722.0	0.469841	1.93834	67.6225	1.04778	1575.21	45.9883	3936.17	False	True	True	True	True	0.008637838304748017
dentate_gyrus	DG_human_all	276202	H16-06-013-05-01-02_576679789_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	34.0	34.0	Female	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276202	H16-06-013-05-01-02_576679789_m_dendriteaxon	20366.2	8797.36	4.0	22.0	48.0	305.155	1099.73	261.97	0.785711	642.877	890.612	10.0	0.872384	4574.0	0.600649	1.94073	67.0129	1.03022	930.852	51.1148	6495.11	False	True	True	True	True	0.007390175070168173
dentate_gyrus	DG_human_all	276212	H18-06-368-99-06-04_813168569_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	59.0	59.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276212	H18-06-368-99-06-04_813168569_m_dendriteOnly	3560.22	641.68	3.0	7.0	17.0	215.893	387.849	36.28	0.652976	450.504	525.072	3.0	0.880961	1528.0	0.47619	2.0	83.7523	1.03313	236.197	39.3937	1728.61	False	True	True	True	True	0.009834491296475203
dentate_gyrus	DG_human_all	276214	H16-06-013-05-04-03_574838391_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	34.0	34.0	Female	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276214	H16-06-013-05-04-03_574838391_m_dendriteaxon	10400.1	3579.06	4.0	11.0	26.0	565.777	374.744	84.46	0.921762	503.433	611.538	4.0	0.772728	1496.0	0.363636	1.57105	66.3687	1.06363	1292.85	76.7637	3492.45	False	True	True	True	True	0.00744463056020845
dentate_gyrus	DG_human_all	276218	H17-06-014-11-07-03_661310115_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	44.0	44.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276218	H17-06-014-11-07-03_661310115_m_dendriteaxon	9973.27	3089.15	3.0	13.0	29.0	324.335	369.597	68.23	0.957844	459.497	564.047	5.0	0.860455	2876.0	0.463736	1.96261	64.0412	1.03381	134.711	32.4831	3302.75	False	True	True	True	True	0.008780561653167814
dentate_gyrus	DG_human_all	276220	H18-06-366-99-06-01_791551088_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	38.0	38.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276220	H18-06-366-99-06-01_791551088_m_dendriteOnly	34336.0	14558.6	7.0	20.0	47.0	262.564	566.547	185.36	1.28855	626.915	712.068	4.0	0.896545	3614.0	0.421429	1.95149	70.0077	1.02191	842.687	31.5784	8460.83	False	True	True	True	True	0.005555010560429651
dentate_gyrus	DG_human_all	276223	H17-06-014-11-02-04_663025846_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	44.0	44.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276223	H17-06-014-11-02-04_663025846_m_dendriteaxon	5703.55	1176.25	3.0	29.0	61.0	298.903	390.011	109.19	0.62075	262.318	385.847	6.0	0.837538	2586.0	0.563602	1.96913	83.7839	1.05207	71.572	72.2014	2927.27	False	True	True	True	True	0.020838528731548508
dentate_gyrus	DG_human_all	276228	H17-06-014-11-07-01_661307789_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	44.0	44.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276228	H17-06-014-11-07-01_661307789_m_dendriteaxon	8641.21	2135.2	3.0	11.0	25.0	244.042	474.49	56.16	0.813946	474.118	594.548	5.0	0.920676	2968.0	0.472727	2.0	67.4076	1.01648	131.996	25.0786	3365.65	False	True	True	True	True	0.007427985678843611
dentate_gyrus	DG_human_all	276248	H18-06-366-99-03-04_791546606_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	38.0	38.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276248	H18-06-366-99-03-04_791546606_m_dendriteOnly	16387.2	6147.22	3.0	17.0	37.0	296.883	583.441	192.71	1.12523	525.895	677.318	6.0	0.840329	1981.0	0.428105	1.95855	78.438	1.03902	976.349	47.376	4581.11	False	True	True	True	True	0.008076645179879986
dentate_gyrus	DG_human_all	276253	H18-06-366-99-03-01_792328800_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	38.0	38.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276253	H18-06-366-99-03-01_792328800_m_dendriteOnly	19286.1	7909.47	4.0	17.0	38.0	154.308	752.39	65.83	1.30402	804.654	1024.73	5.0	0.8707	2039.0	0.478151	1.94352	70.3123	1.03149	1035.35	36.6842	4656.0	False	True	True	True	True	0.00816151202749141
dentate_gyrus	DG_human_all	276287	H18-06-368-99-02-01_813185418_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	59.0	59.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276287	H18-06-368-99-02-01_813185418_m_dendriteOnly	6553.02	1623.56	3.0	9.0	21.0	428.331	216.54	107.67	0.816444	427.441	510.14	3.0	0.856897	2033.0	0.133333	1.91181	54.8812	1.03315	43.577	35.7368	2545.14	False	True	True	True	True	0.008251019590277941
