source_layer	expression_scale	broad_class	panel	gene	gene_key	candidate_role	notes	n_cells	detection_fraction	mean_value_all_cells	mean_log1p_value_all_cells	present_in_matrix
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	29474	0.010891	0.0129945	0.00833586	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	56808	0.00161949	0.0016899	0.00115109	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	511	0.0215264	0.0234834	0.0157145	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	10533	0.0288617	0.0449713	0.0449713	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	67423	0.0058882	0.0046286	0.0046286	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	3304	0.00423729	0.00727996	0.00727996	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	37763	0.0342134	0.0744719	0.0744719	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	36805	0.000434724	0.00109023	0.00109023	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	32081	0.205698	0.630404	0.242404	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	32875	0.321399	0.955468	0.381343	True
