dataset	sample	group	region	platform	species	analysis_class	n_cells_or_spots	n_high_confidence	n_medium_confidence	n_reference_confidence	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	identity_contrast_mean	identity_contrast_median	identity_contrast_q25	identity_contrast_q75	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	mouse	dentate_low_support	24	0	0	0	0.215311	0.212575	0.124656	0.277945	0	0	0	0	0.215311	0.212575	0.124656	0.277945	0.45242	0.403817	0.289988	0.539312	0.550783	0.514482	0.325152	0.641074	0.233777	0.202281	0.0732408	0.264838	0.412327	0.359974	0.271731	0.503848	0.401605	0.402845	0.316435	0.467705	0.384064	0.384064	0.384064	0.384064	0.378809	0.334238	0.27589	0.437798	0.371445	0.317629	0.250434	0.476118	GSE95752|C1_all_cells|DG12|dentate_low_support
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	mouse	other_or_ambiguous	26	0	0	0	0	0	0	0	0.0313245	0	0	0.0630134	-0.0313245	0	-0.0630134	0	0.160184	0.0689138	0	0.146627	0.290447	0.178194	0.115525	0.333764	0.109206	0.0597253	0.0115525	0.119451	0.186612	0.111066	0.0783253	0.14384	0.112896	0.112896	0.112896	0.112896	0.558769	0.384064	0.384064	0.834564	0.181953	0.119518	0.0327833	0.203539	0.158706	0.0961789	0.0512375	0.144377	GSE95752|C1_all_cells|DG12|other_or_ambiguous
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	mouse	dentate_candidate	27	11	16	0	0.567488	0.562476	0.44794	0.612881	0.00700149	0	0	0	0.560486	0.553852	0.44794	0.597174	0.69892	0.673385	0.556762	0.814511	0.68969	0.669174	0.599719	0.807545	0.403154	0.384555	0.285111	0.476996	0.597255	0.5588	0.501813	0.71457	0.726854	0.73274	0.622666	0.776813	0.43412	0.384064	0.384064	0.384064	0.597578	0.58337	0.457772	0.720473	0.562069	0.532783	0.472645	0.683891	GSE95752|C1_all_cells|DG13|dentate_candidate
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	mouse	dentate_low_support	34	0	0	0	0.226082	0.22397	0.0993143	0.325065	0.0169949	0	0	0	0.209087	0.199049	0.0866434	0.304916	0.432869	0.497443	0.233947	0.611407	0.451647	0.438125	0.3226	0.542522	0.232561	0.217008	0.131953	0.31741	0.372359	0.385212	0.301847	0.454743	0.411165	0.414677	0.285823	0.503691	0.473066	0.384064	0.384064	0.384064	0.38409	0.401324	0.257599	0.516283	0.343593	0.338037	0.276487	0.413048	GSE95752|C1_all_cells|DG13|dentate_low_support
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	mouse	other_or_ambiguous	18	0	0	0	0.00481352	0	0	0	0.0769368	0.0630134	0	0.119489	-0.0721233	-0.0630134	-0.119489	0	0.118492	0.0689138	0.053319	0.13003	0.281124	0.22836	0.115525	0.428693	0.120814	0.115524	0.0462098	0.16566	0.173477	0.148014	0.10031	0.216198	0.121653	0.112896	0.112896	0.112896	0.732704	0.834564	0.384064	0.944746	0.155051	0.119518	0.09835	0.190838	0.160937	0.149153	0.0804386	0.212549	GSE95752|C1_all_cells|DG13|other_or_ambiguous
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	mouse	dentate_candidate	30	13	17	0	0.625495	0.653153	0.521171	0.700839	0.0138314	0	0	0	0.611664	0.629009	0.484847	0.700839	0.712394	0.740509	0.625369	0.800375	0.720998	0.72723	0.66514	0.85533	0.39316	0.379305	0.295174	0.440393	0.608851	0.604817	0.523945	0.691008	0.776625	0.81003	0.694909	0.847808	0.465979	0.384064	0.384064	0.384064	0.618722	0.649696	0.534358	0.707338	0.57766	0.585541	0.50152	0.662288	GSE95752|C1_all_cells|DG14|dentate_candidate
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	mouse	dentate_low_support	18	0	0	0	0.217796	0.24195	0.108304	0.310613	0.00700149	0	0	0	0.210795	0.24195	0.108304	0.310613	0.466668	0.506096	0.322272	0.620588	0.447111	0.46635	0.298368	0.623944	0.239432	0.263219	0.103972	0.380953	0.384404	0.399727	0.281618	0.555353	0.403266	0.432371	0.294725	0.491967	0.43412	0.384064	0.384064	0.384064	0.412952	0.407946	0.292119	0.528007	0.35613	0.356492	0.258142	0.530396	GSE95752|C1_all_cells|DG14|dentate_low_support
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	mouse	other_or_ambiguous	11	0	0	0	0	0	0	0	0.0501523	0	0	0.0998738	-0.0501523	0	-0.0998738	0	0.0957556	0.106638	0	0.148893	0.201786	0.173287	0.0866437	0.305705	0.133721	0.138629	0.0924196	0.156071	0.143754	0.129274	0.106256	0.165455	0.112896	0.112896	0.112896	0.112896	0.628074	0.384064	0.384064	0.921624	0.13512	0.168693	0.0327833	0.202454	0.133975	0.124186	0.0894485	0.174338	GSE95752|C1_all_cells|DG14|other_or_ambiguous
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	mouse	dentate_candidate	51	19	32	0	0.580963	0.534583	0.46416	0.69887	0.0157594	0	0	0	0.565204	0.503169	0.46416	0.688099	0.704796	0.709101	0.583422	0.799776	0.656175	0.642853	0.581874	0.728533	0.442178	0.442919	0.325244	0.568869	0.60105	0.605013	0.510783	0.698379	0.736163	0.707121	0.639601	0.844225	0.47983	0.384064	0.384064	0.384064	0.606472	0.620061	0.488927	0.706253	0.570066	0.585323	0.483283	0.66891	GSE95752|C1_all_cells|DG15|dentate_candidate
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	mouse	dentate_low_support	55	0	0	0	0.228795	0.22397	0.137327	0.310613	0.00687419	0	0	0	0.221921	0.22397	0.137327	0.310613	0.433921	0.466802	0.333027	0.576628	0.421015	0.422931	0.288811	0.52605	0.262776	0.268357	0.16566	0.325244	0.372571	0.368321	0.298187	0.466071	0.413986	0.414677	0.331741	0.491967	0.433209	0.384064	0.384064	0.384064	0.378652	0.374512	0.298307	0.48122	0.342826	0.323925	0.27247	0.423795	GSE95752|C1_all_cells|DG15|dentate_low_support
