dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	5	1.44994	0.0732925	1.37665	1.09133	0.319202	0.0819672
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	46	0.694837	0.0941482	0.600689	0.896012	0.215711	0.754098
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	6	0.1624	0.199458	-0.0370583	0.69479	0.112219	0.0983607
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	14	1.75937	0.140127	1.61924	1.815	0.759352	0.259259
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	4	1.43632	0.0332222	1.4031	1.41989	0.495012	0.0740741
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	34	0.735051	0.0975975	0.637453	1.48937	0.604738	0.62963
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	2	0.377883	0.9255	-0.547616	1.54981	0.592269	0.037037
GSE214905	patch_RNA_QC_counts	all	dentate_gyrus	patch_seq	candidate_dentate_granule	high	27	4.26287	0.258227	4.00465	4.36238	0.810526	0.284211
GSE214905	patch_RNA_QC_counts	all	dentate_gyrus	patch_seq	candidate_dentate_granule	medium	11	4.21804	0.260523	3.95752	3.32976	0.536842	0.115789
GSE214905	patch_RNA_QC_counts	all	dentate_gyrus	patch_seq	dentate_like_low_support	low	56	2.33208	0.165468	2.16661	2.77005	0.321053	0.589474
GSE214905	patch_RNA_QC_counts	all	dentate_gyrus	patch_seq	non_granule_or_ambiguous	low	1	0	0	0	2.14077	0.2	0.0105263
GSE242688	WT_ZT12_rep1	all	cerebellum_spatial	visium_spatial	candidate_cerebellar_granule	high	108	0.389547	0.519933	-0.130386	1.17878	0.70761	0.0341017
GSE242688	WT_ZT12_rep1	all	cerebellum_spatial	visium_spatial	candidate_cerebellar_granule	medium	141	0.280082	0.425313	-0.145231	0.938408	0.47395	0.0445216
GSE242688	WT_ZT12_rep1	all	cerebellum_spatial	visium_spatial	cerebellum_dentate_panel_high_warning	low	935	0.874206	0.347419	0.526786	1.31012	0.835491	0.295232
GSE242688	WT_ZT12_rep1	all	cerebellum_spatial	visium_spatial	non_granule_or_ambiguous	low	1983	0.301188	0.175887	0.125301	0.770994	0.323019	0.626145
GSE242688	WT_ZT12_rep2	all	cerebellum_spatial	visium_spatial	candidate_cerebellar_granule	high	9	0.304982	0.386043	-0.0810614	1.24526	0.669167	0.0035531
GSE242688	WT_ZT12_rep2	all	cerebellum_spatial	visium_spatial	candidate_cerebellar_granule	medium	45	0.233018	0.321992	-0.0889736	1.08978	0.455586	0.0177655
GSE242688	WT_ZT12_rep2	all	cerebellum_spatial	visium_spatial	cerebellum_dentate_panel_high_warning	low	772	0.875043	0.227897	0.647146	1.32316	0.791749	0.304777
GSE242688	WT_ZT12_rep2	all	cerebellum_spatial	visium_spatial	non_granule_or_ambiguous	low	1707	0.423887	0.17391	0.249977	1.01308	0.363995	0.673904
GSE292261	SS2_filtered_counts	DG_P10	dentate_gyrus	Smart_seq2	candidate_dentate_granule	high	39	2.69614	0.102281	2.59386	3.22659	0.744597	0.428571
GSE292261	SS2_filtered_counts	DG_P10	dentate_gyrus	Smart_seq2	candidate_dentate_granule	medium	14	2.7088	0.111084	2.59772	2.74319	0.519646	0.153846
GSE292261	SS2_filtered_counts	DG_P10	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	38	2.09118	0.0755601	2.01562	2.78177	0.533399	0.417582
GSE292261	SS2_filtered_counts	DG_P15	dentate_gyrus	Smart_seq2	candidate_dentate_granule	high	7	2.60697	0.16278	2.44419	3.02865	0.644401	0.0752688
GSE292261	SS2_filtered_counts	DG_P15	dentate_gyrus	Smart_seq2	candidate_dentate_granule	medium	42	2.7246	0.101111	2.62349	2.59061	0.452849	0.451613
GSE292261	SS2_filtered_counts	DG_P15	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	44	2.10439	0.123133	1.98126	2.51592	0.400786	0.473118
GSE292261	SS2_filtered_counts	DG_P28	dentate_gyrus	Smart_seq2	candidate_dentate_granule	medium	7	2.40575	0.0793409	2.32641	2.08084	0.324165	0.0451613
GSE292261	SS2_filtered_counts	DG_P28	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	144	1.25827	0.0694086	1.18886	1.57179	0.150295	0.929032
GSE292261	SS2_filtered_counts	DG_P28	dentate_gyrus	Smart_seq2	non_granule_or_ambiguous	low	4	0.0433217	0.120416	-0.0770945	1.48753	0.0952849	0.0258065
GSE292261	SS2_filtered_counts	DG_P5	dentate_gyrus	Smart_seq2	candidate_dentate_granule	high	49	2.82798	0.0353837	2.7926	3.61159	0.895874	0.521277
GSE292261	SS2_filtered_counts	DG_P5	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	45	1.81191	0.00890245	1.803	3.50864	0.882122	0.478723
GSE292261	SS2_filtered_counts	DG_P7	dentate_gyrus	Smart_seq2	candidate_dentate_granule	high	24	2.49655	0.0616825	2.43487	3.26237	0.753438	0.315789
GSE292261	SS2_filtered_counts	DG_P7	dentate_gyrus	Smart_seq2	candidate_dentate_granule	medium	14	2.76446	0.0537263	2.71074	2.66786	0.5	0.184211
GSE292261	SS2_filtered_counts	DG_P7	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	38	1.92261	0.0533801	1.86923	2.91951	0.611984	0.5
GSE312658	Ctrl	all	cerebellum	10x	candidate_cerebellar_granule	high	1118	0.0612621	0.33104	-0.269778	0.719635	0.782685	0.230183
GSE312658	Ctrl	all	cerebellum	10x	candidate_cerebellar_granule	medium	711	0.0415249	0.279234	-0.237709	0.392833	0.470661	0.146387
GSE312658	Ctrl	all	cerebellum	10x	cerebellum_dentate_panel_high_warning	low	596	0.244794	0.0948039	0.14999	0.618702	0.718139	0.122709
