gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity	db_class_key	human_symbol	mouse_symbol	canonical_mouse_symbol	ortholog_symbol_class	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	present_in_human_dg_full_gene_list
TPR	TPR	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.32704975240553325	0.6011745053451754	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.32704975240553325	cerebellar_biased	51624542	TPR	Tpr	TPR	same_symbol	7175	108989	HGNC:12017	MGI:1922066	True
TPST1	TPST1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.6006136422106322	0.21361387422209027	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.21361387422209027	cerebellar_biased	51620937	TPST1	Tpst1	TPST1	same_symbol	8460	22021	HGNC:12020	MGI:1298231	True
TRA2A	TRA2A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.5489182502739887	0.686470587754912	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.5489182502739887	cerebellar_biased	51629735	TRA2A	Tra2a	TRA2A	same_symbol	29896	101214	HGNC:16645	MGI:1933972	True
TRA2B	TRA2B	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.5136404638473809	0.7685124140452868	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.5136404638473809	cerebellar_biased	51624394	TRA2B	Tra2b	TRA2B	same_symbol	6434	20462	HGNC:10781	MGI:106016	True
TRABD	TRABD	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.11045207683158653	0.18259062624922917	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.11045207683158653	cerebellar_biased	51619722	TRABD	Trabd	TRABD	same_symbol	80305	67976	HGNC:28805	MGI:1915226	True
TRAF6	TRAF6	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.21744704166678286	0.06487307561656917	4	2	0.2047379835013634	0.015247217002160102	True	False	1.0	0.06487307561656917	cerebellar_biased	51620599	TRAF6	Traf6	TRAF6	same_symbol	7189	22034	HGNC:12036	MGI:108072	True
TRAF7	TRAF7	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1026049496740811	0.2700298885338969	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.1026049496740811	cerebellar_biased	51622554	TRAF7	Traf7	TRAF7	same_symbol	84231	224619	HGNC:20456	MGI:3042141	True
TRAFD1	TRAFD1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.10644387989518261	0.23961652306706133	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.10644387989518261	cerebellar_biased	51629158	TRAFD1	Trafd1	TRAFD1	same_symbol	10906	231712	HGNC:24808	MGI:1923551	True
TRAM1L1	TRAM1L1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.04423956659097576	0.2403172388655317	5	3	0.2047379835013634	0.005366742498130141	True	False	1.0	0.04423956659097576	cerebellar_biased	51617015	TRAM1L1	Tram1l1	TRAM1L1	same_symbol	133022	229801	HGNC:28371	MGI:2443503	True
TRAP1	TRAP1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3440458732568126	0.2069401650327598	4	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.2069401650327598	cerebellar_biased	51620340	TRAP1	Trap1	TRAP1	same_symbol	10131	68015	HGNC:16264	MGI:1915265	True
