gene_symbol	feature_role	present_in_all_four_matrices	selection_seed
Celf4	background_pool	True	205921
Cenpc1	background_pool	True	205921
Cenpf	background_pool	True	205921
Cep120	background_pool	True	205921
Cep152	background_pool	True	205921
Cep162	background_pool	True	205921
Cep70	background_pool	True	205921
Cep85l	background_pool	True	205921
Cep95	background_pool	True	205921
Cers3	background_pool	True	205921
Cers5	background_pool	True	205921
Ces1g	background_pool	True	205921
Cetn4	background_pool	True	205921
Cfap53	background_pool	True	205921
Cfap69	background_pool	True	205921
Cftr	background_pool	True	205921
Cgn	background_pool	True	205921
Cgnl1	background_pool	True	205921
Cgref1	background_pool	True	205921
Chchd6	background_pool	True	205921
Chd4	background_pool	True	205921
Chia1	background_pool	True	205921
Chic2	background_pool	True	205921
Chmp2b	background_pool	True	205921
Chmp6	background_pool	True	205921
Chp1	background_pool	True	205921
Chrm3	background_pool	True	205921
Chrna9	background_pool	True	205921
Chst10	background_pool	True	205921
Chst11	background_pool	True	205921
Chst8	background_pool	True	205921
Cib4	background_pool	True	205921
Cisd1	background_pool	True	205921
Cited4	background_pool	True	205921
Ckap2	background_pool	True	205921
Ckap2l	background_pool	True	205921
Clasp2	background_pool	True	205921
Clca3a1	background_pool	True	205921
Cldn15	background_pool	True	205921
Clec12b	background_pool	True	205921
Clec2e	background_pool	True	205921
Clec9a	background_pool	True	205921
Cln3	background_pool	True	205921
Clnk	background_pool	True	205921
Clns1a	background_pool	True	205921
Clock	background_pool	True	205921
Clspn	background_pool	True	205921
Cluh	background_pool	True	205921
Cnbd2	background_pool	True	205921
Cnbp	background_pool	True	205921
Cnga2	background_pool	True	205921
Cngb3	background_pool	True	205921
Cnih3	background_pool	True	205921
Cnksr3	background_pool	True	205921
Cnot2	background_pool	True	205921
Cnot3	background_pool	True	205921
Cnot6l	background_pool	True	205921
Cnot9	background_pool	True	205921
Cntnap5b	background_pool	True	205921
Coasy	background_pool	True	205921
Col15a1	background_pool	True	205921
Col23a1	background_pool	True	205921
Col25a1	background_pool	True	205921
Col26a1	background_pool	True	205921
Colca2	background_pool	True	205921
Commd7	background_pool	True	205921
Commd9	background_pool	True	205921
Copa	background_pool	True	205921
