dentate_state	feature_set	direction	gene_symbol	standardized_logistic_coefficient	absolute_coefficient
mature	downstream_all	cerebellum_to_dentate	Synpr	0.17842014757401484	0.17842014757401484
mature	downstream_all	cerebellum_to_dentate	Syt1	0.22783649909643885	0.22783649909643885
mature	neurite_morphology	dentate_to_cerebellum	Basp1	-0.14565438312721685	0.14565438312721685
mature	neurite_morphology	dentate_to_cerebellum	Cadm3	-0.07506598509573728	0.07506598509573728
mature	neurite_morphology	dentate_to_cerebellum	Cfl1	-0.21514915477916635	0.21514915477916635
mature	neurite_morphology	dentate_to_cerebellum	Cntn5	0.5930036754929823	0.5930036754929823
mature	neurite_morphology	dentate_to_cerebellum	Dcc	-0.15689209819666924	0.15689209819666924
mature	neurite_morphology	dentate_to_cerebellum	Dpysl2	-0.23058392542620612	0.23058392542620612
mature	neurite_morphology	dentate_to_cerebellum	Dpysl3	-0.047975470258261384	0.047975470258261384
mature	neurite_morphology	dentate_to_cerebellum	Gap43	-0.336436336215875	0.336436336215875
mature	neurite_morphology	dentate_to_cerebellum	Gpm6a	0.10310844530285254	0.10310844530285254
mature	neurite_morphology	dentate_to_cerebellum	L1cam	-0.3709952321240964	0.3709952321240964
mature	neurite_morphology	dentate_to_cerebellum	Map1b	0.6758217148397002	0.6758217148397002
mature	neurite_morphology	dentate_to_cerebellum	Ncam1	0.5796607863391807	0.5796607863391807
mature	neurite_morphology	dentate_to_cerebellum	Nrp1	0.113714671499025	0.113714671499025
mature	neurite_morphology	dentate_to_cerebellum	Nrxn1	-0.32777977685497883	0.32777977685497883
mature	neurite_morphology	dentate_to_cerebellum	Plxna2	-0.0381202448340098	0.0381202448340098
mature	neurite_morphology	dentate_to_cerebellum	Plxna4	0.40957533518098727	0.40957533518098727
mature	neurite_morphology	dentate_to_cerebellum	Robo2	-0.11715654243643636	0.11715654243643636
mature	neurite_morphology	dentate_to_cerebellum	Rtn1	0.2544617473036743	0.2544617473036743
mature	neurite_morphology	dentate_to_cerebellum	Rtn3	-0.38947840249195664	0.38947840249195664
mature	neurite_morphology	dentate_to_cerebellum	Stmn2	-0.4027079687391728	0.4027079687391728
mature	neurite_morphology	dentate_to_cerebellum	Stmn3	-0.3839974179043561	0.3839974179043561
mature	neurite_morphology	cerebellum_to_dentate	Basp1	-0.15614585966691727	0.15614585966691727
mature	neurite_morphology	cerebellum_to_dentate	Cadm3	0.38695378654156015	0.38695378654156015
mature	neurite_morphology	cerebellum_to_dentate	Cfl1	-0.2764872983588558	0.2764872983588558
mature	neurite_morphology	cerebellum_to_dentate	Cntn5	-0.32566529100102365	0.32566529100102365
mature	neurite_morphology	cerebellum_to_dentate	Dcc	0.252695254714773	0.252695254714773
mature	neurite_morphology	cerebellum_to_dentate	Dpysl2	-0.3886282713440939	0.3886282713440939
mature	neurite_morphology	cerebellum_to_dentate	Dpysl3	0.038942216347974165	0.038942216347974165
mature	neurite_morphology	cerebellum_to_dentate	Gap43	0.40050158160414945	0.40050158160414945
mature	neurite_morphology	cerebellum_to_dentate	Gpm6a	0.2610120753416759	0.2610120753416759
mature	neurite_morphology	cerebellum_to_dentate	L1cam	0.3613821494492972	0.3613821494492972
mature	neurite_morphology	cerebellum_to_dentate	Map1b	-0.3412376287588371	0.3412376287588371
mature	neurite_morphology	cerebellum_to_dentate	Ncam1	-0.3240120144124848	0.3240120144124848
mature	neurite_morphology	cerebellum_to_dentate	Nrp1	-0.21350801219180326	0.21350801219180326
mature	neurite_morphology	cerebellum_to_dentate	Nrxn1	0.35328871314938715	0.35328871314938715
mature	neurite_morphology	cerebellum_to_dentate	Plxna2	0.39705015885409284	0.39705015885409284
mature	neurite_morphology	cerebellum_to_dentate	Plxna4	-0.39845038926661536	0.39845038926661536
mature	neurite_morphology	cerebellum_to_dentate	Robo2	-0.40889997444412884	0.40889997444412884
mature	neurite_morphology	cerebellum_to_dentate	Rtn1	-0.377518666416491	0.377518666416491
mature	neurite_morphology	cerebellum_to_dentate	Rtn3	0.40580337878710593	0.40580337878710593
mature	neurite_morphology	cerebellum_to_dentate	Stmn2	0.2554350694813336	0.2554350694813336
mature	neurite_morphology	cerebellum_to_dentate	Stmn3	-0.3532604114746022	0.3532604114746022
mature	synaptic_excitability	dentate_to_cerebellum	Cacna2d1	0.42526947513163105	0.42526947513163105
mature	synaptic_excitability	dentate_to_cerebellum	Calm1	0.2619601613270744	0.2619601613270744
mature	synaptic_excitability	dentate_to_cerebellum	Calm2	-0.3802064638863486	0.3802064638863486
mature	synaptic_excitability	dentate_to_cerebellum	Camk2a	-0.09046991353934158	0.09046991353934158
mature	synaptic_excitability	dentate_to_cerebellum	Camk2b	0.26942141988268453	0.26942141988268453
mature	synaptic_excitability	dentate_to_cerebellum	Gabra2	0.16782322522992393	0.16782322522992393
