gene_symbol	value_scale	cerebellar_granule_minus_purkinje	cerebellar_bootstrap_95ci_low	cerebellar_bootstrap_95ci_high	dentate_granule_minus_mean_ca1_ca3	dentate_bootstrap_95ci_low	dentate_bootstrap_95ci_high	dentate_granule_minus_ca1	dentate_ca1_bootstrap_95ci_low	dentate_ca1_bootstrap_95ci_high	dentate_positive_vs_ca1	dentate_granule_minus_ca3	dentate_ca3_bootstrap_95ci_low	dentate_ca3_bootstrap_95ci_high	dentate_positive_vs_ca3	positive_against_both_hippocampal_comparators	shared_minimum_local_delta	shared_minimum_bootstrap_95ci_low	shared_minimum_bootstrap_95ci_high	bootstrap_fraction_both_positive	both_local_deltas_positive	n_cb_granule_libraries	n_purkinje_libraries	n_dg_granule_libraries	n_ca1_libraries	n_ca3_libraries
En1	mean Allen log2 expression	0.01094654144882004	-0.033109615153783384	0.05133844035928483	0.0003353110429861176	-0.00048886708915233	0.0014948002181106828	0.0004982667393702276	0.0	0.0014948002181106828	True	0.00017235534660200763	-0.00097773417830466	0.0014948002181106828	True	True	0.0003353110429861176	-0.033109615153783384	0.0014948002181106828	0.448	True	121	63	29	49	20
En2	mean Allen log2 expression	0.9917777493370399	0.9394238299693551	1.0456974073544436	0.00025259585362252313	-0.0006657434583952693	0.0012677278424569293	0.0003153019156126772	-0.0007093202034825782	0.0013793057943199377	True	0.00018988979163236908	-0.0011033046453217616	0.0013597846854543733	True	True	0.00025259585362252313	-0.0006657434583952693	0.0012677278424569293	0.6685	True	121	63	29	49	20
Meis1	mean Allen log2 expression	5.900073454801254	5.782722426294752	6.009065310098287	-0.027647151220835907	-0.041005702935202476	-0.014107997278995145	-0.052077497819556846	-0.07455377574325375	-0.032371221526318265	False	-0.0032168046221149604	-0.015228388007640729	0.008350444637948328	False	False	-0.027647151220835907	-0.041005702935202476	-0.014107997278995145	0.0	False	121	63	29	49	20
Prox1	mean Allen log2 expression	1.3919033344301208	1.3419710728480108	1.4418883120163601	7.326482778585364	7.183822696521002	7.471042780982686	7.328539246766606	7.18805763909129	7.475810488331242	True	7.32442631040412	7.183699791274528	7.469930480162009	True	True	1.3919033344301208	1.3419710728480108	1.4418883120163601	1.0	True	121	63	29	49	20
Neurod1	mean Allen log2 expression	2.9293929451964305	2.740185175143043	3.116150043844676	0.7619106466306531	0.5828598144771605	0.9279828303437105	1.072086772274862	0.8960005883129927	1.2552961433385195	True	0.4517345209864443	0.2340500435785851	0.667118922143709	True	True	0.7619106466306531	0.5828598144771605	0.9279828303437105	1.0	True	121	63	29	49	20
Neurod2	mean Allen log2 expression	1.1706862946137446	1.1189007294318878	1.2305446778993523	-0.5895027027905533	-1.0328901875722372	-0.13147503448038206	0.373765704392361	-0.06719356717882236	0.8076911086216525	True	-1.5527711099734676	-2.076370654542532	-1.0267497796572231	False	False	-0.5895027027905533	-1.0328901875722372	-0.13147503448038206	0.0035	False	121	63	29	49	20
Eomes	mean Allen log2 expression	0.243745376827589	0.223328144021638	0.2669075693365422	0.0005772001776936026	-0.0006131153322485656	0.002090795608182854	0.0002010493018405799	-0.001292974843220081	0.0018190982594623302	True	0.0009533510535466254	-0.0003882088084932213	0.002441827443903631	True	True	0.0005772001776936026	-0.0006131153322485656	0.002090795608182854	0.7925	True	121	63	29	49	20
Tbr1	mean Allen log2 expression	-0.020572443173083883	-0.028348206207100646	-0.012495886648657067	-0.09934779585725872	-0.15780118636728632	-0.043313373983163796	0.03814735677853781	-0.019500918270457725	0.09283733564636608	True	-0.23684294849305532	-0.3204319494799036	-0.15053153577196002	False	False	-0.09934779585725872	-0.15780118636728632	-0.043313373983163796	0.0	False	121	63	29	49	20
Lef1	mean Allen log2 expression	-0.010687958695503944	-0.02143482318279826	-0.0018713032453945705	-0.03354294819570398	-0.04901792125082496	-0.019758719572458814	-0.019438805609579973	-0.029401019468434986	-0.01014930516802984	False	-0.047647090781827973	-0.07594292188835504	-0.023733085075863525	False	False	-0.03354294819570398	-0.04901792125082496	-0.019957688860618356	0.0	False	121	63	29	49	20
Lhx2	mean Allen log2 expression	-0.0003274126286531116	-0.0013274378523687829	0.00023212086920395953	-0.4058468856601818	-0.607427003858107	-0.2145325626747398	-0.16013459060264945	-0.3847041428092494	0.06661194326976726	False	-0.6515591807177143	-0.9282536513927144	-0.39779971770528466	False	False	-0.4058468856601818	-0.607427003858107	-0.2145325626747398	0.0	False	121	63	29	49	20
