population	gene_symbol	n_libraries	mean_log2_expression	median_log2_expression	mean_detection_fraction
Dentate granule, mature	Ppp3ca	29	11.617445151416234	11.758127020876945	1.0
Dentate granule, mature	Prox1	29	7.392357200113893	7.312550091209334	0.8825529385456697
Dentate granule, mature	Ptch1	29	1.8166449725941547	1.7760135267999653	0.25441144581787617
Dentate granule, mature	Rfx3	29	10.562645964511187	10.462704158696688	0.9973073789914465
Dentate granule, mature	Robo2	29	8.94671024631015	9.0865298808442	0.9693497226706993
Dentate granule, mature	Rtn1	29	10.058536270710706	10.075417123631253	0.9964001596582748
Dentate granule, mature	Rtn3	29	8.929494659483582	8.980051580447368	0.977723323403624
Dentate granule, mature	Slc17a6	29	0.006951338077455352	0.0017072579635438	0.0009821059658327517
Dentate granule, mature	Slc17a7	29	6.976334387536193	6.822198407605933	0.8579091932396782
Dentate granule, mature	Snap25	29	9.441541648552283	9.391624955351714	0.9904585524008179
Dentate granule, mature	Sox2	29	0.01786194255941926	0.0029926153236881	0.002537570576690376
Dentate granule, mature	Stmn2	29	2.3407865229779934	2.2598626350768964	0.3217222656477141
Dentate granule, mature	Stmn3	29	6.968308840255245	7.025187900619188	0.8702657619228023
Dentate granule, mature	Stxbp1	29	4.4601400937094215	4.359682514124079	0.5965476515401293
Dentate granule, mature	Stxbp5l	29	9.267183075669156	9.387987903983795	0.9855791764999823
Dentate granule, mature	Synpr	29	9.311939626691151	9.183423256689265	0.9755243099809607
Dentate granule, mature	Syt1	29	11.099245140931215	11.128677746640191	0.9999212216932571
Dentate granule, mature	Tbr1	29	0.36973423292388213	0.3622649038512657	0.054229223250676896
Dentate granule, mature	Tcf7l2	29	0.015763193219010634	0.0127391019063178	0.00225585974315631
Dentate granule, mature	Tubb3	29	1.2980613976381499	1.279440831710405	0.18550759577908416
Dentate granule, mature	Vim	29	0.007519031377655414	0.0053041946789449	0.0010795328818144173
Dentate granule, mature	Wnt3a	29	0.006706874453421083	0.0036713444331163	0.000959563882405438
Dentate granule, mature	Wnt5a	29	0.11745748526525338	0.1097354162671045	0.01711256368057009
Dentate granule, mature	Wnt7a	29	0.06853127621489237	0.0505047995468665	0.010177888973088535
Dentate granule, mature	Zbtb20	29	11.63405277141763	11.656627204786169	0.9999927450539405
Dentate granule, mature	Zic1	29	0.003810493252053676	0.0	0.0005441732049644551
Dentate granule, mature	Zic2	29	0.009928866502495682	0.0016820115687986	0.001463945002634293
Dentate granule, mature	Zic3	29	0.0009799128214974242	0.0	0.00014877807606271035
Olfactory-bulb GABA, immature proxy	Ascl1	28	0.2366643419436351	0.0	0.02667870498100743
Olfactory-bulb GABA, immature proxy	Atoh1	28	0.0	0.0	0.0
Olfactory-bulb GABA, immature proxy	Barhl1	28	0.0012879381875623428	0.0	0.00015328019619865
Olfactory-bulb GABA, immature proxy	Basp1	28	8.601127776850289	8.87916444270491	0.8939630540027761
Olfactory-bulb GABA, immature proxy	Bcl11b	28	4.24993462158213	4.691249519343972	0.48308660201115483
Olfactory-bulb GABA, immature proxy	Bmp4	28	0.053403643642525825	0.01829368743538295	0.006632942756391847
Olfactory-bulb GABA, immature proxy	Bmpr1a	28	3.8237203929111074	3.718033958990558	0.4468345178741049
Olfactory-bulb GABA, immature proxy	C1ql3	28	0.04711719579182718	0.0	0.005821766552322082
Olfactory-bulb GABA, immature proxy	Cacna2d1	28	7.17562109217492	8.166409118072355	0.7214979742992956
Olfactory-bulb GABA, immature proxy	Cadm3	28	1.9552631486816818	1.9502193999701338	0.23684779811381032
Olfactory-bulb GABA, immature proxy	Calb1	28	0.03828700621849101	0.0135241347046855	0.0045063522521216
Olfactory-bulb GABA, immature proxy	Calm1	28	4.614861942017157	4.965054179212478	0.5221941524866043
Olfactory-bulb GABA, immature proxy	Calm2	28	3.624658700086748	3.6824759539299854	0.41666758820224115
Olfactory-bulb GABA, immature proxy	Camk2a	28	1.4776632533108984	1.5811689201166543	0.17967109448101878
