matrix	population	library	n_cells
HPF	Dentate granule, mature	pBICCNsMMrHPFDG1iM017d210223	4109
HPF	Dentate granule, mature	pBICCNsMMrHPFDG2iF014d210217	4753
HPF	Dentate granule, mature	pBICCNsMMrHPFDG2iM017d210223	3642
HPF	Dentate granule, mature	pBICCNsMMrHPFDG3iF014d210217	4067
HPF	Dentate granule, mature	pBICCNsMMrHPFDG3iM017d210223	3874
HPF	Dentate granule, mature	pBICCNsMMrSUBMiM016d210219A1	439
HPF	Dentate granule, mature	pBICCNsMMrSUBMiM016d210219A2	462
HPF	Dentate granule, mature	pBICCNsMMrSUBMiM016d210219A3	521
HPF	Dentate granule, mature	pBICCNsMMrSUBMiM016d210219B3	1316
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiF015d201201A2	1
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiF015d201201A3	2
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiF015d201201B1	2
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiF015d201201B2	1
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiF015d201201B3	1
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiF016d210119A3	2
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiM015d201201A1	1
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiM015d201201A2	2
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiM015d201201B2	1
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrENTiM017d210119B1	1
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA1iF014d210217	3
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA1iM017d210223	17
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA2CA3iF014d210217A1	63
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA2CA3iF014d210217A2	58
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA2CA3iM017d210223A1	97
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA2CA3iM017d210223A2	117
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA2iF014d210217	29
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA2iM017d210223	8
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA3iF014d210217	12
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFCA3iM017d210223	20
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFDG1iF014d210217	7
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFDG1iM017d210223	3
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFDG2iF014d210217	13
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFDG2iM017d210223	9
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFDG3iF014d210217	8
