dataset	sample	source_group	specificity_role	mechanism_axis	mechanism_axis_label	n_present_axis_genes	n_cells	median_axis_score	mean_axis_score	within_sample_axis_rank
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	1024	0.2648378191956621	0.302000438883657	0.7291666666666666
GSE104323	10X_all_cells	GABA	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	209	0.34657359027997264	0.3743582937923362	0.7916666666666666
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	synaptic_excitability_maturation	Synaptic/excitability	12	532	0.8910683482849626	0.8585859858119177	1.0
GSE104323	10X_all_cells	GC-juv	dentate_granule	synaptic_excitability_maturation	Synaptic/excitability	12	3420	0.5763102873859428	0.6063375699796631	0.9583333333333334
GSE104323	10X_all_cells	GC-adult	dentate_granule	synaptic_excitability_maturation	Synaptic/excitability	12	2613	0.45461009294647514	0.46757135935843963	0.9166666666666666
GSE122357	P0	Granule precursor	cerebellar_granule	developmental_regulatory_control	Developmental regulatory	7	2553	0.8310158799947435	0.8457191920537589	0.875
GSE122357	P0	Granule cells	cerebellar_granule	developmental_regulatory_control	Developmental regulatory	7	2814	0.7099733285108573	0.7108079921525593	0.625
GSE122357	P0	Interneuron	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	418	0.8883703118923971	0.8939250404122483	1.0
GSE122357	P0	Microglia	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	112	0.15694461266687282	0.2187864038765812	0.25
GSE122357	P0	Astrocytes	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	1230	0.5698548637948964	0.5939792572676561	0.5
GSE122357	P0	Oligodendrocytes	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	44	0.433458970588865	0.46619615621793553	0.375
GSE122357	P0	Purkinje cells	purkinje_comparator	developmental_regulatory_control	Developmental regulatory	7	92	0.09902102579427789	0.18248235929594794	0.125
GSE122357	P0	Endothelial cells	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	15	0.7569024809354339	0.808488430677859	0.75
GSE122357	P0	Granule precursor	cerebellar_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	2553	1.3953358122909836	1.44752249343792	0.75
GSE122357	P0	Granule cells	cerebellar_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	2814	1.7941161454444647	1.775287691476874	1.0
GSE122357	P0	Interneuron	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	418	1.3347208321311803	1.316951109484206	0.625
GSE122357	P0	Microglia	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	112	1.043807111555512	1.1123558394230655	0.25
GSE122357	P0	Astrocytes	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	1230	0.9165278851579556	0.9768563014025241	0.125
GSE122357	P0	Oligodendrocytes	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	44	1.0833020493943302	1.1487181851853456	0.375
GSE122357	P0	Purkinje cells	purkinje_comparator	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	92	1.308594454060405	1.3466592079142103	0.5
GSE122357	P0	Endothelial cells	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	15	1.479194522612644	1.525473861895216	0.875
GSE122357	P0	Granule precursor	cerebellar_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	2553	0.27465307216702745	0.30772983255867187	0.8125
GSE122357	P0	Granule cells	cerebellar_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	2814	0.17328679513998632	0.23624811014876293	0.5625
GSE122357	P0	Interneuron	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	418	0.17328679513998632	0.16946482895020012	0.5625
GSE122357	P0	Microglia	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	112	0.0	0.0401109613692401	0.25
GSE122357	P0	Astrocytes	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	1230	0.0	0.05592272294803407	0.25
GSE122357	P0	Oligodendrocytes	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	44	0.0	0.06992471712092964	0.25
GSE122357	P0	Purkinje cells	purkinje_comparator	axon_guidance_adhesion	Axon guidance/adhesion	4	92	0.34657359027997264	0.33984918502186223	1.0
GSE122357	P0	Endothelial cells	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	15	0.27465307216702745	0.2628747686013891	0.8125
GSE122357	P0	Granule precursor	cerebellar_granule	synaptic_excitability_maturation	Synaptic/excitability	12	2553	0.11552453009332421	0.1292618435869611	0.5625
GSE122357	P0	Granule cells	cerebellar_granule	synaptic_excitability_maturation	Synaptic/excitability	12	2814	0.2648378191956621	0.26876577279461294	1.0
GSE122357	P0	Interneuron	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	418	0.057762265046662105	0.08441798240447553	0.25
GSE122357	P0	Microglia	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	112	0.057762265046662105	0.056983666397585266	0.25
GSE122357	P0	Astrocytes	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	1230	0.057762265046662105	0.07618871355350218	0.25
GSE122357	P0	Oligodendrocytes	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	44	0.11552453009332421	0.13103768568272536	0.5625
GSE122357	P0	Purkinje cells	purkinje_comparator	synaptic_excitability_maturation	Synaptic/excitability	12	92	0.18258444311141173	0.19975608887457633	0.875
GSE122357	P0	Endothelial cells	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	15	0.1493132891023379	0.18047964778662756	0.75
GSE122357	P8a	Granule cells	cerebellar_granule	developmental_regulatory_control	Developmental regulatory	7	1367	1.0156970661531817	1.0202940884412623	0.75
GSE122357	P8a	Granule precursor	cerebellar_granule	developmental_regulatory_control	Developmental regulatory	7	3254	1.0961075130740414	1.1112162513075674	0.875
GSE122357	P8a	Purkinje cells	purkinje_comparator	developmental_regulatory_control	Developmental regulatory	7	86	0.2559656384611507	0.3128291457905604	0.1875
GSE122357	P8a	Microglia	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	102	0.2559656384611507	0.2980596978743122	0.1875
GSE122357	P8a	Interneuron	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	570	1.131541188503731	1.1680532703379845	1.0
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	173	0.5941261547656673	0.6866623761627804	0.5
GSE122357	P8a	Astrocytes	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	292	0.9080153800994131	0.9185408055174142	0.625
GSE122357	P8a	Endothelial cells	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	8	0.3503767698884592	0.3421855266272632	0.375
GSE122357	P8a	Granule cells	cerebellar_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	1367	1.9903709350481027	1.9830214086209668	1.0
GSE122357	P8a	Granule precursor	cerebellar_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	3254	1.8437419789182088	1.8355563933305952	0.75
GSE122357	P8a	Purkinje cells	purkinje_comparator	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	86	1.85572788707772	1.7875882315505072	0.875
GSE122357	P8a	Microglia	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	102	1.4048842252125777	1.3987479077555218	0.375
GSE122357	P8a	Interneuron	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	570	1.5760602974835152	1.6021687390501838	0.5
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	173	1.6564716962395887	1.714790461171141	0.625
GSE122357	P8a	Astrocytes	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	292	1.4011141500027575	1.419590530079384	0.25
GSE122357	P8a	Endothelial cells	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	8	1.3912878069148384	1.3260549116759572	0.125
