architecture	replicate	seed	n_inputs	n_outputs	expansion_ratio	input_degree	output_active_fraction_parameter	observed_output_active_fraction	median_input_hamming_distance	median_output_hamming_distance	median_input_jaccard_distance	median_output_jaccard_distance	separation_gain	near_pair_input_jaccard_distance	near_pair_output_jaccard_distance	near_pair_separation_gain	distance_spearman_correlation	collapse_rate	output_entropy_bits	active_fraction_penalty	information_retention_score	useful_pattern_separation_score	relative_wiring_cost	relative_active_output_load	relative_wiring_activity_cost	resource_adjusted_useful_score	loss_cerebellar_stem_input	loss_dentate_stem_lower_bound	loss_branch_complexity_overfit	morphology_sparse_sampling_score	loss_dandi_active_exact_match	loss_excessive_silence	dandi_activity_proxy_score	z_useful	z_resource_adjusted	z_information_retention	z_distance_structure	z_low_collapse	z_morphology	z_dandi_activity_proxy	empirical_calibration_score	resource_constrained_calibration_score	activity_exact_match_score	rank_empirical_calibration	rank_resource_constrained_calibration	rank_activity_exact_match
intermediate	2	30284	64	32	0.5	2	0.2	0.1875	0.3125	0.3125	0.9	0.9090909090909092	1.0101010089786755	0.8	0.8	0.99999999875	0.3919219393442693	0.0006798756798756	0.6627215079195508	0.5163977781172615	0.2595585110522209	0.1340354382312472	1.0	0.09375	0.1875	0.7148556667540883	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	1.5496889246926628	0.0	-0.3874222311731657	0.21294860372607682	7.943567885057541	1.132741849422524	-0.061794436419733714	-0.04461676976135504	0.3967592703304354	1.359008167127492	2.246327717441819	2.7384119491221823	-1.5496889246926628	11.0	15.0	81.0
intermediate	2	30235	64	64	1.0	2	0.1	0.09375	0.28125	0.15625	0.9090909090909092	0.9090909090909092	0.9999999989	0.8125	0.9090909090909092	1.1188811175040343	0.407242026433899	0.0	0.4212160590555693	0.7302967394453056	0.1715368814562909	0.1401653986774414	2.0	0.09375	0.1875	0.7475487889594273	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	2.5496889169982895	0.0	-0.6374222292495724	0.2653323124348453	8.346367103018165	0.45191650935391636	-0.00015833286026238288	-0.0	0.3967592703304354	0.6431868776574539	2.2162185073365284	2.7362752677444657	-2.5496889169982895	12.0	16.0	151.0
intermediate	1	20284	64	32	0.5	2	0.2	0.1875	0.28125	0.3125	0.9047619047619048	0.9090909090909092	1.0047846878846638	0.8095238095238095	0.8	0.988235292896886	0.3916947646768946	0.0005827505827505	0.660298350435448	0.5163977781172615	0.2584846870562109	0.1319105541681774	1.0	0.09375	0.1875	0.7035229518114908	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	1.5496889246926628	0.0	-0.3874222311731657	0.19479036130726007	7.803941920685638	1.1244360887746763	-0.0627084104227843	-0.03824294550973196	0.3967592703304354	1.359008167127492	2.2066566497385054	2.6922840296548336	-1.5496889246926628	13.0	17.0	81.0
intermediate	3	40235	64	64	1.0	2	0.1	0.09375	0.265625	0.15625	0.9090909090909092	0.9090909090909092	0.9999999989	0.8125	0.9090909090909092	1.1188811175040343	0.397130791681166	0.0	0.4182185305326391	0.7302967394453056	0.1660874561261608	0.1357125902348718	2.0	0.09375	0.1875	0.7238004773923806	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	2.5496889169982895	0.0	-0.6374222292495724	0.227280742210387	8.053773411078597	0.40976656427114705	-0.0408380697760817	-0.0	0.3967592703304354	0.6431868776574539	2.123686617801703	2.6345643543552884	-2.5496889169982895	14.0	18.0	151.0
excessively_sparse	1	20094	64	32	0.5	2	0.01	0.03125	0.28125	0.0625	0.9055059523809524	1.0	1.104354970021156	0.8076923076923077	1.0	1.2380952365623583	0.2057702255131368	0.0731351981351981	0.172709033390829	0.7905694276912053	0.0329392705240463	0.032240965979882	1.0	0.015625	0.03125	1.031710878341478	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	4.134651386941952	0.0	-1.033662846735488	-0.6569382461783032	11.847417466401776	-0.6201014256560614	-0.8107240113198237	-4.79948966147204	0.3967592703304354	-0.4913630100688859	2.0948738735623436	2.904657114251902	-4.134651386941952	15.0	10.0	271.0
intermediate	3	40114	64	32	0.5	2	0.03	0.03125	0.3125	0.0625	0.9	1.0	1.1111111098765432	0.7916666666666666	1.0	1.2631578931412744	0.2022813116127612	0.0707070707070707	0.1700449067354524	0.7905694276912053	0.0319648022486016	0.0319204994374977	1.0	0.015625	0.03125	1.0214559493133375	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	4.134651386941952	0.0	-1.033662846735488	-0.6596767999021838	11.721070482261421	-0.627638694598494	-0.8247606846895982	-4.640144055181469	0.3967592703304354	-0.4913630100688859	2.073771075082602	2.881009278552711	-4.134651386941952	16.0	11.0	271.0
intermediate	1	20114	64	32	0.5	2	0.03	0.03125	0.28125	0.0625	0.9090909090909092	1.0	1.09999999879	0.8095238095238095	1.0	1.2352941161211073	0.2387689901219229	0.1031468531468531	0.1587171821476579	0.7905694276912053	0.0339878116871501	0.033192012989217	1.0	0.015625	0.03125	1.062144381666326	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	4.134651386941952	0.0	-1.033662846735488	-0.6488110535246735	12.22237680072467	-0.6119912214116823	-0.6779626725061216	-6.769001355223514	0.3967592703304354	-0.4913630100688859	2.0443147628880953	2.823035714341005	-4.134651386941952	17.0	14.0	271.0
intermediate	2	30114	64	32	0.5	2	0.03	0.03125	0.28125	0.0625	0.9090909090909092	1.0	1.09999999879	0.8181818181818182	1.0	1.222222220728395	0.2034171099201942	0.0732323232323232	0.1735557511510571	0.7905694276912053	0.0327188000415852	0.0316145903235609	1.0	0.015625	0.03125	1.0116668579806125	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	4.134651386941952	0.0	-1.033662846735488	-0.6622909528084674	11.600462902826171	-0.6218067098218479	-0.8201911165344014	-4.8058634857236635	0.3967592703304354	-0.4913630100688859	2.032342452836324	2.8286070288031575	-4.134651386941952	18.0	13.0	271.0
intermediate	1	20168	64	32	0.5	4	0.05	0.0625	0.296875	0.125	0.9	1.0	1.1111111098765432	0.8076923076923077	1.0	1.2380952365623583	0.2631270003666137	0.0036907536907536	0.3267671655410997	0.8944271838444985	0.085663928419365	0.0948630381007849	2.0	0.03125	0.125	0.7589042987350455	0.0	1.4150374986777208	0.0	-0.3537593746694302	3.134651410025072	0.0	-0.783662852506268	-0.12179998329481388	8.486273913644416	-0.21228935371004104	-0.5799650023126743	-0.24220532156166416	0.6744907594765952	0.2244582683855599	1.9499543258216536	2.6115793075362865	-3.134651410025072	19.0	19.0	181.0
intermediate	2	30168	64	32	0.5	4	0.05	0.0625	0.3125	0.125	0.8947368421052632	1.0	1.1176470575743944	0.8	1.0	1.2499999984375	0.2552186318724755	0.0057303807303807	0.3212225112104985	0.8944271838444985	0.0815121819375872	0.0911333890604039	2.0	0.03125	0.125	0.729067106650695	0.0	1.4150374986777208	0.0	-0.3537593746694302	3.134651410025072	0.0	-0.783662852506268	-0.15367177930918358	8.118661497729162	-0.24440207672267783	-0.6117821203642494	-0.37605563084574894	0.6744907594765952	0.2244582683855599	1.8331332164278105	2.4767192841785324	-3.134651410025072	20.0	20.0	181.0
