dataset	sample	branch	source_group	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE122357	P0	cerebellar	Interneuron	RBFOX3	Rbfox3	Rbfox3	418	0.0	0.24968811896081483	0.2703349282296651	0.5	False		other	other	Interneuron
GSE122357	P0	cerebellar	Microglia	RBFOX3	Rbfox3	Rbfox3	112	0.0	0.05569932700928132	0.08035714285714286	0.5	False		other	other	Microglia
GSE122357	P0	cerebellar	Astrocytes	RBFOX3	Rbfox3	Rbfox3	1230	0.0	0.06729268230528089	0.08780487804878048	0.5	False		other	other	Astrocytes
GSE122357	P0	cerebellar	Oligodendrocytes	RBFOX3	Rbfox3	Rbfox3	44	0.0	0.08383816941168037	0.09090909090909091	0.5	False		other	other	Oligodendrocytes
GSE122357	P0	cerebellar	Purkinje cells	RBFOX3	Rbfox3	Rbfox3	92	0.0	0.16518610838238895	0.1956521739130435	0.5	False		other	other	Purkinje cells
GSE122357	P0	cerebellar	Endothelial cells	RBFOX3	Rbfox3	Rbfox3	15	0.0	0.11945063128187033	0.13333333333333333	0.5	False		other	other	Endothelial cells
GSE122357	P0	cerebellar	Granule precursor	HMGN2	Hmgn2	Hmgn2	2553	2.8903717578961645	2.745797084734107	0.9890325107716412	1.0	True	0.0	immature	early/precursor	P0 Granule precursor
GSE122357	P0	cerebellar	Granule cells	HMGN2	Hmgn2	Hmgn2	2814	1.0986122886681098	1.0364549104962517	0.779317697228145	0.375	True	0.2	immature	early/precursor	P0 Granule cells
GSE122357	P0	cerebellar	Interneuron	HMGN2	Hmgn2	Hmgn2	418	1.0986122886681098	1.4317516571394657	0.8516746411483254	0.375	False		other	other	Interneuron
GSE122357	P0	cerebellar	Microglia	HMGN2	Hmgn2	Hmgn2	112	1.0986122886681098	1.2806889313752454	0.8571428571428571	0.375	False		other	other	Microglia
GSE122357	P0	cerebellar	Astrocytes	HMGN2	Hmgn2	Hmgn2	1230	1.3862943611198906	1.531572151589363	0.8845528455284553	0.6875	False		other	other	Astrocytes
GSE122357	P0	cerebellar	Oligodendrocytes	HMGN2	Hmgn2	Hmgn2	44	1.791759469228055	1.6835553194341244	0.8863636363636364	0.875	False		other	other	Oligodendrocytes
GSE122357	P0	cerebellar	Purkinje cells	HMGN2	Hmgn2	Hmgn2	92	0.0	0.6037326028240514	0.4891304347826087	0.125	False		other	other	Purkinje cells
GSE122357	P0	cerebellar	Endothelial cells	HMGN2	Hmgn2	Hmgn2	15	1.3862943611198906	1.5713822289411998	0.9333333333333333	0.6875	False		other	other	Endothelial cells
GSE122357	P8a	cerebellar	Granule cells	NFIA	Nfia	Nfia	1367	1.791759469228055	1.726619704026497	0.9758595464520848	0.8125	True	8.299999999999999	mature	maturing/mature	P8a Granule cells
GSE122357	P8a	cerebellar	Granule precursor	NFIA	Nfia	Nfia	3254	2.0794415416798357	2.0717674082987534	0.9883220651505839	1.0	True	8.1	immature	early/precursor	P8a Granule precursor
GSE122357	P8a	cerebellar	Purkinje cells	NFIA	Nfia	Nfia	86	0.0	0.33667977786382197	0.32558139534883723	0.1875	False		other	other	Purkinje cells
GSE122357	P8a	cerebellar	Microglia	NFIA	Nfia	Nfia	102	0.0	0.36099946329649474	0.37254901960784315	0.1875	False		other	other	Microglia
GSE122357	P8a	cerebellar	Interneuron	NFIA	Nfia	Nfia	570	1.6094379124341003	1.6494636841262746	0.9508771929824561	0.625	False		other	other	Interneuron
GSE122357	P8a	cerebellar	Oligodendrocytes	NFIA	Nfia	Nfia	173	0.6931471805599453	0.7634067221235787	0.6705202312138728	0.375	False		other	other	Oligodendrocytes
GSE122357	P8a	cerebellar	Astrocytes	NFIA	Nfia	Nfia	292	1.791759469228055	1.7232218251703695	0.9691780821917808	0.8125	False		other	other	Astrocytes
GSE122357	P8a	cerebellar	Endothelial cells	NFIA	Nfia	Nfia	8	1.0986122886681098	0.9744558170418243	0.875	0.5	False		other	other	Endothelial cells
GSE122357	P8a	cerebellar	Granule cells	NEUROD1	Neurod1	Neurod1	1367	2.6390573296152584	2.6215475046642065	1.0	1.0	True	8.299999999999999	mature	maturing/mature	P8a Granule cells
