audit_scope	contrast_id	expression_layer	dataset	core_branch	branch_kind	sample	source_layer	expression_scope	target_class	background_classes	candidate_median_downstream_construction_balance	background_median_downstream_construction_balance	delta_downstream_construction_balance	candidate_median_regional_fate_balance	background_median_regional_fate_balance	delta_regional_fate_balance	candidate_median_configuration_score	background_median_configuration_score	delta_configuration_score	configuration_positive	driver_class	construction_positive	fate_positive	driver_notes
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|16|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	16	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	-0.0833333333333333	0.0833333333333333	0.1666666666666667	-0.1666666666666666	0.3333333333333333	0.1666666666666667	-0.25	0.4166666666666667	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|17|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	17	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666667	0.0833333333333333	-0.25	0.1666666666666667	-0.1666666666666666	0.3333333333333333	0.0	-0.0833333333333333	0.0833333333333333	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|18|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	18	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	0.0833333333333333	-0.25	-0.3333333333333333	-0.1249999999999999	-0.2083333333333334	-0.5	-0.0416666666666666	-0.4583333333333333	False	configuration_not_positive	False	False	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|19|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	19	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	0.0833333333333333	-0.25	0.3333333333333333	-0.1666666666666666	0.5	0.1666666666666667	-0.0833333333333332	0.25	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|20|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	20	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	0.0	0.0	0.1666666666666667	-0.0833333333333333	0.25	0.1666666666666667	-0.0833333333333333	0.25	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|21|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	21	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.0833333333333332	0.0416666666666666	-0.1249999999999999	0.1666666666666667	-0.0416666666666666	0.2083333333333334	0.0833333333333334	2.7755575615628914e-17	0.0833333333333334	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|22|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	22	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	0.0	0.0	0.1666666666666667	-0.1666666666666666	0.3333333333333333	0.1666666666666667	-0.1666666666666666	0.3333333333333333	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|23|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	23	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	0.0	0.0	-0.3333333333333333	0.0416666666666666	-0.375	-0.3333333333333333	0.0416666666666666	-0.375	False	configuration_not_positive	False	False	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|24|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	24	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1666666666666667	-0.0833333333333333	0.25	0.3333333333333333	-0.1249999999999999	0.4583333333333333	0.5000000000000001	-0.2083333333333333	0.7083333333333334	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|25|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	25	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	0.0	0.0	0.1666666666666667	0.0	0.1666666666666667	0.1666666666666667	0.0	0.1666666666666667	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
