dataset	region	axis_type	comparison_group	transition_id	transition_label	metric_type	metric_id	metric_label	start_label	end_label	start_score	end_score	delta_end_minus_start	direction
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_1hr	Immature activity, 1 hr	pathway	notch_hes	Notch/HES	immature_1hr	immatureactive_1hr	0.5	0.46875	-0.03125	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_1hr	Immature activity, 1 hr	pathway	shh_granule_expansion	SHH/PTCH/GLI	immature_1hr	immatureactive_1hr	0.5	0.46875	-0.03125	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_1hr	Immature activity, 1 hr	pathway	tgf_beta_smad	TGF-beta/SMAD	immature_1hr	immatureactive_1hr	0.4375	0.5625	0.125	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_1hr	Immature activity, 1 hr	signature	differentiation_stop_index	Differentiation/stop signaling	immature_1hr	immatureactive_1hr	0.4375	0.40625	-0.03125	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_1hr	Immature activity, 1 hr	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	immature_1hr	immatureactive_1hr	0.4791666666666667	0.4270833333333333	-0.05208333333333337	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_1hr	Immature activity, 1 hr	signature	stop_minus_permissive_index	Stop minus permissive balance	immature_1hr	immatureactive_1hr	-0.041666666666666685	-0.020833333333333315	0.02083333333333337	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_1hr	Immature activity, 1 hr	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	immature_1hr	immatureactive_1hr	0.40625	0.46875	0.0625	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_4hr	Immature activity, 4 hr	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	immature_4hr	immatureactive_4hr	0.625	0.75	0.125	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_4hr	Immature activity, 4 hr	pathway	notch_hes	Notch/HES	immature_4hr	immatureactive_4hr	0.5625	0.40625	-0.15625	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_4hr	Immature activity, 4 hr	pathway	shh_granule_expansion	SHH/PTCH/GLI	immature_4hr	immatureactive_4hr	0.59375	0.53125	-0.0625	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_4hr	Immature activity, 4 hr	pathway	tgf_beta_smad	TGF-beta/SMAD	immature_4hr	immatureactive_4hr	0.5625	0.75	0.1875	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_4hr	Immature activity, 4 hr	signature	differentiation_stop_index	Differentiation/stop signaling	immature_4hr	immatureactive_4hr	0.65	0.7125	0.0625	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_4hr	Immature activity, 4 hr	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	immature_4hr	immatureactive_4hr	0.625	0.6458333333333334	0.02083333333333337	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_4hr	Immature activity, 4 hr	signature	stop_minus_permissive_index	Stop minus permissive balance	immature_4hr	immatureactive_4hr	0.025000000000000022	0.06666666666666665	0.04166666666666663	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_4hr	Immature activity, 4 hr	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	immature_4hr	immatureactive_4hr	0.59375	0.75	0.15625	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_1hr	Immature to mature, 1 hr	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	immature_1hr	mature_1hr	0.375	0.5	0.125	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_1hr	Immature to mature, 1 hr	pathway	notch_hes	Notch/HES	immature_1hr	mature_1hr	0.5	0.5	0.0	unchanged
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_1hr	Immature to mature, 1 hr	pathway	shh_granule_expansion	SHH/PTCH/GLI	immature_1hr	mature_1hr	0.5	0.53125	0.03125	increased
