donor_id	comparator	feature_type	model_term_supported	target_set	peak_category	n_barcodes_granule	n_barcodes_comparator	mean_feature_score_granule	mean_feature_score_comparator	delta_granule_minus_comparator	mean_detection_granule	mean_detection_comparator	delta_detection_granule_minus_comparator	n_donors	mean_delta_score	median_delta_score	mean_delta_detection	median_delta_detection
H628	purkinje_candidate	Peaks	NicheSignal	deep_neural_progenitor	gene_edge_2kb	49	726	0.2526455388541496	0.16773077013949636	0.08491476871465323	0.07908163265306123	0.05681818181818182	0.022263450834879406					
H628	purkinje_candidate	Peaks	NicheSignal	deep_neural_progenitor	proximal_10kb	49	726	0.2660400579638174	0.2577724785209771	0.00826757944284029	0.08746355685131195	0.08392365210547029	0.0035399047458416627					
H628	purkinje_candidate	Peaks	NicheSignal	dentate_fate_wnt_prox1	distal_100kb	49	726	0.2250275184461418	0.23317721030830532	-0.008149691862163522	0.07142857142857142	0.07460973370064279	-0.0031811622720713667					
H628	purkinje_candidate	Peaks	NicheSignal	hindbrain_rhombic_lip_pattern	distal_100kb	49	726	0.48269418192062996	0.40611212932306257	0.0765820525975674	0.1530612244897959	0.13539944903581266	0.01766177545398323					
H628	purkinje_candidate	Peaks	NicheSignal	hindbrain_rhombic_lip_pattern	gene_body_overlap	49	726	0.9853027644564618	0.8544512430783837	0.1308515213780781	0.336734693877551	0.2830578512396694	0.05367684263788158					
H628	purkinje_candidate	Peaks	NicheSignal	hindbrain_rhombic_lip_pattern	gene_edge_2kb	49	726	0.8342767058998234	0.6484418639128541	0.1858348419869693	0.29591836734693877	0.21831955922865015	0.07759880811828862					
H628	purkinje_candidate	Peaks	NicheSignal	hindbrain_rhombic_lip_pattern	proximal_10kb	49	726	0.43873121668148013	0.30373303195722656	0.13499818472425357	0.1457725947521866	0.10133805588351043	0.04443453886867617					
H628	purkinje_candidate	Peaks	NicheSignal	medial_pallium_dentate_lineage	distal_100kb	49	726	0.2250275184461418	0.23317721030830532	-0.008149691862163522	0.07142857142857142	0.07460973370064279	-0.0031811622720713667					
H628	purkinje_candidate	Peaks	NicheSignal	shared_neurogenic_niche_state	distal_100kb	49	726	0.36581937605929926	0.3025787139833305	0.06324066207596873	0.11458528365474631	0.1003993226678798	0.014185960986866503					
H628	purkinje_candidate	Peaks	NicheSignal	shared_neurogenic_niche_state	gene_body_overlap	49	726	0.6542717746670995	0.5181248810405664	0.1361468936265331	0.2050092764378479	0.1688580015026296	0.036151274935218275					
H628	purkinje_candidate	Peaks	NicheSignal	shared_neurogenic_niche_state	gene_edge_2kb	49	726	0.3372170845687956	0.24353843953468762	0.093678645034108	0.11096938775510204	0.08255853994490359	0.028410847810198453					
H628	purkinje_candidate	Peaks	NicheSignal	shared_neurogenic_niche_state	proximal_10kb	49	726	0.3219349873973257	0.2720631875425592	0.049871799854766474	0.10526315789473684	0.09076410033347831	0.014499057561258522					
H628	purkinje_candidate	Peaks	NicheSignal	shared_postmitotic_granule_maturation	distal_100kb	49	726	0.41184982301583956	0.34092699323064346	0.0709228297851961	0.1346938775510204	0.11553719008264463	0.019156687468375788					
H628	purkinje_candidate	Peaks	NicheSignal	shared_postmitotic_granule_maturation	gene_body_overlap	49	726	1.6895552453479576	1.4236114305154222	0.2659438148325355	0.46938775510204084	0.4641873278236915	0.005200427278349351					
H628	purkinje_candidate	Peaks	NicheSignal	shared_postmitotic_granule_maturation	proximal_10kb	49	726	0.4649064945504896	0.49396120638706476	-0.029054711836575153	0.14795918367346939	0.16701101928374656	-0.01905183561027718					
H628	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	Tier 1 core convergent program	gene_expression_or_marker	49	117	2.5617672998238232	1.9167540659244968	0.6450132338993264	0.7585034013605442	0.6666666666666666	0.09183673469387754					
H628	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	49	117	2.6390815672022656	0.7727024833267443	1.8663790838755214	0.7392290249433107	0.28774928774928776	0.4514797371940229					
H628	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	49	117	1.4002610009045924	0.48886606541974265	0.9113949354848497	0.5428571428571429	0.22735042735042735	0.3155067155067156					
H628	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_expression_or_marker	49	117	1.4637076430970237	0.5212662636052579	0.9424413794917659	0.514030612244898	0.22168803418803418	0.2923425780568638					
H628	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	Tier 5 exploratory non-identical ortholog	gene_expression_or_marker	49	117	0.9522062902062558	0.34195756095858065	0.6102487292476751	0.3708655876143561	0.15414087827880932	0.2167247093355468					
H628	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	downstream_neurite_morphology	gene_expression_or_marker	49	117	1.8639990058582225	0.6657461085122917	1.198252897345931	0.5937803692905733	0.24297924297924295	0.35080112631133037					
H628	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	downstream_neurite_synapse_construction	gene_expression_or_marker	49	117	1.8469262899554066	0.6665475978092827	1.180378692146124	0.5889212827988338	0.24542124542124544	0.3435000373775884					
H628	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	downstream_synaptic_excitability	gene_expression_or_marker	49	117	2.427958114813084	0.6625374470277905	1.7654206677852937	0.7112244897959183	0.25683760683760687	0.4543868829583115					
H628	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	shared_postmitotic_granule_maturation	gene_expression_or_marker	49	117	2.5814807069670813	1.2955575039050555	1.2859232030620258	0.7836734693877551	0.41025641025641024	0.3734170591313448					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	Tier 1 core convergent program	gene_expression_or_marker	49	117	2.4735673056421166	1.9637597357476477	0.5098075698944688	0.6989795918367347	0.6346153846153846	0.06436420722135017					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	49	117	1.2438056238007567	0.26493911597166936	0.9788665078290872	0.4217687074829932	0.10826210826210826	0.313506599220885					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	49	117	2.001928878654923	0.01705769821491719	1.9848711804400059	0.7346938775510204	0.008547008547008548	0.7261468690040119					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_expression_or_marker	49	117	1.6390144806923808	0.46935322654191813	1.1696612541504625	0.5346938775510204	0.1811965811965812	0.35349729635443916					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_expression_or_marker	49	117	1.0706457824335724	0.08458215267054317	0.9860636297630293	0.3877551020408163	0.042735042735042736	0.34502005930577356					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	downstream_neurite_morphology	gene_expression_or_marker	49	117	1.8944114689048992	0.7721571295768529	1.1222543393280464	0.631083202511774	0.28073635765943455	0.3503468448523394					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	downstream_neurite_synapse_construction	gene_expression_or_marker	49	117	1.8469262899554066	0.6665475978092827	1.180378692146124	0.5889212827988338	0.24542124542124544	0.3435000373775884					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	downstream_synaptic_excitability	gene_expression_or_marker	49	117	1.7697628741624811	0.49493210868698123	1.2748307654755	0.5204081632653061	0.18803418803418803	0.3323739752311181					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_expression_or_marker	49	117	1.0706457824335724	0.08458215267054317	0.9860636297630293	0.3877551020408163	0.042735042735042736	0.34502005930577356					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	shared_neurogenic_niche_state	gene_expression_or_marker	49	117	0.31959873878872536	0.03390232249350958	0.2856964162952158	0.15306122448979592	0.017094017094017096	0.13596720739577883					
H628	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	shared_postmitotic_granule_maturation	gene_expression_or_marker	49	117	1.8206507480984335	0.6938399860813645	1.1268107620170689	0.5677179962894249	0.23310023310023312	0.3346177631891918					
H628	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	anterior_telencephalic_pattern	gene_expression_or_marker	49	117	0.5132241003359846	0.419071558480032	0.09415254185595262	0.17346938775510204	0.14957264957264957	0.02389673818245247					
H628	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	cerebellar_fate_rhombic_lip_shh	gene_expression_or_marker	49	117	0.8397946196685171	0.3742671130887054	0.4655275065798117	0.3202511773940345	0.17028270874424722	0.1499684686497873					
H628	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	deep_neural_progenitor	gene_expression_or_marker	49	117	0.1851698886150275	0.20356633009197247	-0.01839644147694497	0.08006279434850863	0.09598948060486522	-0.015926686256356584					
H628	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	dentate_fate_wnt_prox1	gene_expression_or_marker	49	117	0.5649383587325033	0.4893987704134266	0.0755395883190767	0.19447779111644659	0.18350930115636	0.010968489960086591					
H628	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	hindbrain_rhombic_lip_pattern	gene_expression_or_marker	49	117	0.48963333694603584	0.22657250934768744	0.26306082759834837	0.18140589569160998	0.10208926875593544	0.07931662693567454					
H628	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	medial_pallium_dentate_lineage	gene_expression_or_marker	49	117	0.5649383587325033	0.4893987704134266	0.0755395883190767	0.19447779111644659	0.18350930115636	0.010968489960086591					
H628	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	shared_neurogenic_niche_state	gene_expression_or_marker	49	117	0.15042797778230615	0.26164350734685426	-0.11121552956454811	0.061224489795918366	0.1222222222222222	-0.06099773242630384					
H628	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	shared_postmitotic_granule_maturation	gene_expression_or_marker	49	117	1.0706457824335724	0.08458215267054317	0.9860636297630293	0.3877551020408163	0.042735042735042736	0.34502005930577356					
H628	astrocyte_bergmann_candidate	Gene Expression	NicheSignal	anterior_telencephalic_pattern	gene_expression_or_marker	49	117	0.0	0.034043575407790364	-0.034043575407790364	0.0	0.017094017094017096	-0.017094017094017096					
H628	astrocyte_bergmann_candidate	Gene Expression	NicheSignal	cerebellar_fate_rhombic_lip_shh	gene_expression_or_marker	49	117	0.6510127924758066	0.5002214823843534	0.1507913100914532	0.25510204081632654	0.23504273504273504	0.020059305773591496					
H628	astrocyte_bergmann_candidate	Gene Expression	NicheSignal	deep_neural_progenitor	gene_expression_or_marker	49	117	0.028893456124492622	0.22599264761314936	-0.19709919148865673	0.014577259475218656	0.10500610500610501	-0.09042884553088636					
H628	astrocyte_bergmann_candidate	Gene Expression	NicheSignal	dentate_fate_wnt_prox1	gene_expression_or_marker	49	117	0.0	0.034043575407790364	-0.034043575407790364	0.0	0.017094017094017096	-0.017094017094017096					
H628	astrocyte_bergmann_candidate	Gene Expression	NicheSignal	hindbrain_rhombic_lip_pattern	gene_expression_or_marker	49	117	0.6510127924758066	0.5002214823843534	0.1507913100914532	0.25510204081632654	0.23504273504273504	0.020059305773591496					
H628	astrocyte_bergmann_candidate	Gene Expression	NicheSignal	medial_pallium_dentate_lineage	gene_expression_or_marker	49	117	0.0	0.034043575407790364	-0.034043575407790364	0.0	0.017094017094017096	-0.017094017094017096					
