comparator	feature_type	model_term_supported	target_set	peak_category	broad_n_donors	broad_mean_delta_score	broad_median_delta_score	broad_mean_delta_detection	broad_median_delta_detection	cluster_supported_n_donors	cluster_supported_mean_delta_score	cluster_supported_median_delta_score	cluster_supported_mean_delta_detection	cluster_supported_median_delta_detection	delta_shift_strict_minus_broad	detection_shift_strict_minus_broad	concordance_class	robust_rank_score	robust_detection_score
oligodendrocyte_candidate	Peaks	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_body_overlap	3.0	0.9456528307360298	1.118853100294967	0.325637017194878	0.3566638127853881	3.0	1.4659710769835126	1.684941821844514	0.4502088540450097	0.4338280766852195	0.5203182462474828	0.12457183685013173	robust_positive_strong	0.9456528307360298	0.325637017194878
oligodendrocyte_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	gene_body_overlap	3.0	0.9456528307360298	1.118853100294967	0.325637017194878	0.3566638127853881	3.0	1.4659710769835126	1.684941821844514	0.4502088540450097	0.4338280766852195	0.5203182462474828	0.12457183685013173	robust_positive_strong	0.9456528307360298	0.325637017194878
oligodendrocyte_candidate	Gene Expression	EpigenomicCompatibility	downstream_synaptic_excitability	gene_expression_or_marker	3.0	0.937829131371961	1.0125828795362934	0.3160438391226318	0.3578410388127853	3.0	1.5069152858616774	1.6677344010518904	0.4042760090177831	0.4730596784168213	0.5690861544897164	0.08823216989515131	robust_positive_strong	0.937829131371961	0.3160438391226318
astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	downstream_synaptic_excitability	gene_expression_or_marker	3.0	0.9002162217268019	0.944936217536867	0.2564088360818057	0.2643705749308709	3.0	1.667861504344442	1.7654206677852935	0.3829588036811368	0.3560748939387574	0.7676452826176401	0.12654996759933107	robust_positive_strong	0.9002162217268019	0.2564088360818057
oligodendrocyte_candidate	Gene Expression	EpigenomicCompatibility	shared_postmitotic_granule_maturation	gene_expression_or_marker	3.0	0.8988594127083749	0.916517164398126	0.3256248276538327	0.3445769769613948	3.0	1.465418838865219	1.556817003011365	0.4376539069102735	0.4754314949120144	0.5665594261568441	0.11202907925644079	robust_positive_strong	0.8988594127083749	0.3256248276538327
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	shared_neurogenic_niche_state	gene_body_overlap	3.0	0.8985741601542487	0.9466225100693688	0.2820032747167896	0.2782962951734174	3.0	1.5175419689709375	1.5370256206090338	0.4314607004377486	0.4181057038199895	0.6189678088166888	0.149457425720959	robust_positive_strong	0.8985741601542487	0.2820032747167896
astrocyte_bergmann_candidate	Peaks	NicheSignal	shared_postmitotic_granule_maturation	gene_body_overlap	3.0	0.8985741601542487	0.9466225100693688	0.2820032747167896	0.2782962951734174	3.0	1.5175419689709375	1.5370256206090338	0.4314607004377486	0.4181057038199895	0.6189678088166888	0.149457425720959	robust_positive_strong	0.8985741601542487	0.2820032747167896
oligodendrocyte_candidate	Gene Expression	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_expression_or_marker	3.0	0.8906385476818731	0.6119165902429944	0.3509101553207894	0.2522412077691432	3.0	1.3261405521591458	1.0404563899175168	0.4880660108563598	0.379117897837377	0.4355020044772727	0.13715585553557041	robust_positive_strong	0.8906385476818731	0.3509101553207894
oligodendrocyte_candidate	Gene Expression	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_expression_or_marker	3.0	0.8906385476818731	0.6119165902429944	0.3509101553207894	0.2522412077691432	3.0	1.3261405521591458	1.0404563899175168	0.4880660108563598	0.379117897837377	0.4355020044772727	0.13715585553557041	robust_positive_strong	0.8906385476818731	0.3509101553207894
oligodendrocyte_candidate	Gene Expression	FatePolarity	shared_postmitotic_granule_maturation	gene_expression_or_marker	3.0	0.8906385476818731	0.6119165902429944	0.3509101553207894	0.2522412077691432	3.0	1.3261405521591458	1.0404563899175168	0.4880660108563598	0.379117897837377	0.4355020044772727	0.13715585553557041	robust_positive_strong	0.8906385476818731	0.3509101553207894
oligodendrocyte_candidate	Gene Expression	EpigenomicCompatibility	Tier 1 core convergent program	gene_expression_or_marker	3.0	0.8734704209817835	1.0391211831312686	0.2754551201603016	0.3485738983005593	3.0	1.550093946387107	1.804858525791018	0.3456583620926146	0.3855534709193245	0.6766235254053236	0.07020324193231298	robust_positive_strong	0.8734704209817835	0.2754551201603016
astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_expression_or_marker	3.0	0.8459014280807174	0.7164817107929242	0.3278730854860146	0.2952254764137181	3.0	1.3727578877129063	1.307670215384563	0.494152363681924	0.527680934179023	0.5268564596321889	0.16627927819590937	robust_positive_strong	0.8459014280807174	0.3278730854860146
